variable_1,variable_2,n_pairwise,pearson_r,pearson_p,spearman_r,spearman_p,abs_spearman_r,relationship
术后第二天_活动状态,术后第三天_活动状态,2515,0.7129495348918788,0.0,0.8075943305510198,0.0,0.8075943305510198,cross_day_same_outcome
术后第二天_静息痛,术后第三天_静息痛,2515,0.7298740957347821,0.0,0.7871613367406883,0.0,0.7871613367406883,cross_day_same_outcome
术后第二天_活动痛,术后第三天_活动痛,2516,0.6961166984784616,0.0,0.7612340472453155,0.0,0.7612340472453155,cross_day_same_outcome
手术当天_静息痛,术后第一天_静息痛,2673,0.6880154791561497,0.0,0.748208954280604,0.0,0.748208954280604,cross_day_same_outcome
术后第一天_静息痛,术后第二天_静息痛,2663,0.6271517101243147,4.171597323955732e-291,0.6918925706129281,0.0,0.6918925706129281,cross_day_same_outcome
术后第一天_活动痛,术后第二天_活动痛,2664,0.5989417502006119,3.819342529236818e-259,0.6755331830031286,0.0,0.6755331830031286,cross_day_same_outcome
手术当天_活动痛,术后第一天_活动痛,2673,0.6372460230644111,1.5676895371723594e-304,0.6421866581270941,9.676999411016e-311,0.6421866581270941,cross_day_same_outcome
手术当天_静息痛,术后第二天_静息痛,2657,0.5351585528739701,8.444632539609492e-197,0.5968217635090135,3.4200341594370594e-256,0.5968217635090135,cross_day_same_outcome
术后第一天_静息痛,术后第三天_静息痛,2514,0.5052519638166337,5.2654812770759884e-163,0.5737899440629753,4.1236169959467975e-220,0.5737899440629753,cross_day_same_outcome
术后第一天_活动痛,术后第三天_活动痛,2514,0.5277141229767635,2.737408626093658e-180,0.5535960050889881,6.877196250967808e-202,0.5535960050889881,cross_day_same_outcome
手术当天_活动痛,术后第二天_活动痛,2658,0.454506221639307,1.1878760369527072e-135,0.5128482633377134,2.922289062349094e-178,0.5128482633377134,cross_day_same_outcome
手术当天_静息痛,术后第三天_静息痛,2509,0.45264592535071,5.40191020787032e-127,0.5027466718308191,7.707686244827482e-161,0.5027466718308191,cross_day_same_outcome
术后第一天_活动状态,术后第二天_活动状态,2663,0.45062593869698486,2.3933617706686083e-133,0.48769709996360877,3.6032649308307783e-159,0.48769709996360877,cross_day_same_outcome
术后第二天_镇静评分,术后第三天_镇静评分,2515,0.6820789569383099,0.0,0.480202507630406,2.978214822540193e-145,0.480202507630406,cross_day_same_outcome
手术当天_活动状态,术后第一天_活动状态,2671,0.48827333657945365,4.527743511675931e-160,0.47536837885002103,1.1339649041497538e-150,0.47536837885002103,cross_day_same_outcome
术后第二天_恶心呕吐,术后第三天_恶心呕吐,2513,0.4647789123860234,6.829679129156604e-135,0.46669011693266155,3.918070448507003e-136,0.46669011693266155,cross_day_same_outcome
手术当天_活动痛,术后第三天_活动痛,2508,0.4207564685809568,3.546172953996902e-108,0.4491522565675216,8.664769291395198e-125,0.4491522565675216,cross_day_same_outcome
术后第一天_活动状态,术后第三天_活动状态,2511,0.4112532377506499,4.3847628458633213e-103,0.4030453122923465,1.0370368148226452e-98,0.4030453122923465,cross_day_same_outcome
手术当天_镇静评分,术后第一天_镇静评分,2673,0.5231070226350785,1.089347752568387e-187,0.3821920357931186,1.0453664869970513e-93,0.3821920357931186,cross_day_same_outcome
术后第一天_镇静评分,术后第二天_镇静评分,2664,0.45317891827162515,4.478489394324196e-135,0.3784609075806094,1.7816775287427155e-91,0.3784609075806094,cross_day_same_outcome
手术当天_恶心呕吐,术后第一天_恶心呕吐,2672,0.34427365842454616,3.208596880161867e-75,0.37158006827084183,2.9615778146613047e-88,0.37158006827084183,cross_day_same_outcome
术后第一天_恶心呕吐,术后第二天_恶心呕吐,2665,0.33390408863973475,2.02730523933437e-70,0.3396257949113596,6.109751806922942e-73,0.3396257949113596,cross_day_same_outcome
术后第一天_镇静评分,术后第三天_镇静评分,2512,0.366874138730583,7.010620319698837e-81,0.24203295377880726,8.197308079223094e-35,0.24203295377880726,cross_day_same_outcome
手术当天_活动状态,术后第二天_活动状态,2656,0.2145924186372151,4.8479138280223344e-29,0.23683004796188176,3.520664488185125e-35,0.23683004796188176,cross_day_same_outcome
手术当天_恶心呕吐,术后第二天_恶心呕吐,2657,0.18136684334142,4.4005628879148685e-21,0.2171049235634002,1.0336592133421814e-29,0.2171049235634002,cross_day_same_outcome
手术当天_活动状态,术后第三天_活动状态,2504,0.22710144365542118,1.1860611407979964e-30,0.21536477498734902,1.1574838989734917e-27,0.21536477498734902,cross_day_same_outcome
手术当天_镇静评分,术后第二天_镇静评分,2658,0.3024029251451875,2.491202622332665e-57,0.16937392601432597,1.4732582527806471e-18,0.16937392601432597,cross_day_same_outcome
术后第一天_恶心呕吐,术后第三天_恶心呕吐,2511,0.18275675274493747,2.6759988798291053e-20,0.16695926704616013,3.7227808095774284e-17,0.16695926704616013,cross_day_same_outcome
手术当天_镇静评分,术后第三天_镇静评分,2506,0.2615903826030784,1.7406191971126112e-40,0.14015089637450717,1.8248039724130103e-12,0.14015089637450717,cross_day_same_outcome
手术当天_恶心呕吐,术后第三天_恶心呕吐,2503,0.08552658734775978,1.8306057427149113e-05,0.08935971081469915,7.5560523970411865e-06,0.08935971081469915,cross_day_same_outcome
