variable_1,variable_2,n_pairwise,pearson_r,pearson_p,spearman_r,spearman_p,abs_spearman_r,relationship
手术当天_静息痛,手术当天_活动痛,2673,0.8940783214723127,0.0,0.8798553731042819,0.0,0.8798553731042819,within_day
术后第二天_活动状态,术后第三天_活动状态,2515,0.7129495348918788,0.0,0.8075943305510198,0.0,0.8075943305510198,cross_day_same_outcome
术后第二天_静息痛,术后第三天_静息痛,2515,0.7298740957347821,0.0,0.7871613367406883,0.0,0.7871613367406883,cross_day_same_outcome
术后第二天_活动痛,术后第三天_活动痛,2516,0.6961166984784616,0.0,0.7612340472453155,0.0,0.7612340472453155,cross_day_same_outcome
手术当天_静息痛,术后第一天_静息痛,2673,0.6880154791561497,0.0,0.748208954280604,0.0,0.748208954280604,cross_day_same_outcome
术后第二天_静息痛,术后第二天_活动痛,2665,0.723168855581223,0.0,0.735217072514154,0.0,0.735217072514154,within_day
术后第三天_静息痛,术后第三天_活动痛,2518,0.7658280685202155,0.0,0.7268735429757686,0.0,0.7268735429757686,within_day
术后第一天_静息痛,术后第一天_活动痛,2679,0.7783719220634717,0.0,0.7089815584020751,0.0,0.7089815584020751,within_day
术后第一天_静息痛,术后第二天_静息痛,2663,0.6271517101243147,4.171597323955732e-291,0.6918925706129281,0.0,0.6918925706129281,cross_day_same_outcome
术后第一天_活动痛,术后第二天_活动痛,2664,0.5989417502006119,3.819342529236818e-259,0.6755331830031286,0.0,0.6755331830031286,cross_day_same_outcome
手术当天_活动痛,术后第一天_静息痛,2673,0.6065468824215293,2.2680326839785838e-268,0.6573680803032766,0.0,0.6573680803032766,cross_day_mixed_outcome
手术当天_活动痛,术后第一天_活动痛,2673,0.6372460230644111,1.5676895371723594e-304,0.6421866581270941,9.676999411016e-311,0.6421866581270941,cross_day_same_outcome
术后第二天_静息痛,术后第三天_活动痛,2515,0.6195305135732998,1.5093096260499158e-266,0.6225929955673408,6.271802243149697e-270,0.6225929955673408,cross_day_mixed_outcome
手术当天_静息痛,术后第二天_静息痛,2657,0.5351585528739701,8.444632539609492e-197,0.5968217635090135,3.4200341594370594e-256,0.5968217635090135,cross_day_same_outcome
术后第一天_静息痛,术后第三天_静息痛,2514,0.5052519638166337,5.2654812770759884e-163,0.5737899440629753,4.1236169959467975e-220,0.5737899440629753,cross_day_same_outcome
术后第二天_活动痛,术后第三天_静息痛,2516,0.5337899614672328,2.4475627256443667e-185,0.5717459439020081,2.2158217289332804e-218,0.5717459439020081,cross_day_mixed_outcome
术后第一天_活动痛,术后第三天_活动痛,2514,0.5277141229767635,2.737408626093658e-180,0.5535960050889881,6.877196250967808e-202,0.5535960050889881,cross_day_same_outcome
术后第一天_静息痛,术后第二天_活动痛,2664,0.491684564435566,3.3465670954384055e-162,0.5437389743536447,7.216644886724695e-205,0.5437389743536447,cross_day_mixed_outcome
手术当天_活动痛,术后第二天_活动痛,2658,0.454506221639307,1.1878760369527072e-135,0.5128482633377134,2.922289062349094e-178,0.5128482633377134,cross_day_same_outcome
手术当天_活动痛,术后第二天_静息痛,2657,0.4567382153067735,4.397393791940501e-137,0.5052943981254279,3.3398750938575767e-172,0.5052943981254279,cross_day_mixed_outcome
手术当天_静息痛,术后第三天_静息痛,2509,0.45264592535071,5.40191020787032e-127,0.5027466718308191,7.707686244827482e-161,0.5027466718308191,cross_day_same_outcome
手术当天_静息痛,术后第一天_活动痛,2673,0.5195621175575561,9.638890428366534e-185,0.49682275498153766,1.2030700119506316e-166,0.49682275498153766,cross_day_mixed_outcome
术后第一天_活动状态,术后第二天_活动状态,2663,0.45062593869698486,2.3933617706686083e-133,0.48769709996360877,3.6032649308307783e-159,0.48769709996360877,cross_day_same_outcome
术后第一天_静息痛,术后第三天_活动痛,2514,0.4637334337021914,2.867078848171915e-134,0.4873449014973039,4.009886172850664e-150,0.4873449014973039,cross_day_mixed_outcome
术后第二天_镇静评分,术后第三天_镇静评分,2515,0.6820789569383099,0.0,0.480202507630406,2.978214822540193e-145,0.480202507630406,cross_day_same_outcome
手术当天_活动状态,术后第一天_活动状态,2671,0.48827333657945365,4.527743511675931e-160,0.47536837885002103,1.1339649041497538e-150,0.47536837885002103,cross_day_same_outcome
术后第二天_恶心呕吐,术后第三天_恶心呕吐,2513,0.4647789123860234,6.829679129156604e-135,0.46669011693266155,3.918070448507003e-136,0.46669011693266155,cross_day_same_outcome
术后第一天_活动痛,术后第二天_静息痛,2663,0.4643945629910608,1.439636321282396e-142,0.4595844027249761,2.6780041586695328e-139,0.4595844027249761,cross_day_mixed_outcome
手术当天_活动痛,术后第三天_活动痛,2508,0.4207564685809568,3.546172953996902e-108,0.4491522565675216,8.664769291395198e-125,0.4491522565675216,cross_day_same_outcome
手术当天_静息痛,术后第二天_活动痛,2658,0.39612497266127356,1.4068666860569787e-100,0.43136999042595975,6.4076584851979705e-121,0.43136999042595975,cross_day_mixed_outcome
手术当天_活动痛,术后第三天_静息痛,2508,0.3705251505750987,1.870008916536806e-82,0.4199167550788585,1.0404093718613707e-107,0.4199167550788585,cross_day_mixed_outcome
术后第一天_活动状态,术后第三天_活动状态,2511,0.4112532377506499,4.3847628458633213e-103,0.4030453122923465,1.0370368148226452e-98,0.4030453122923465,cross_day_same_outcome
手术当天_静息痛,术后第三天_活动痛,2508,0.385340580637615,1.3964301854844648e-89,0.3957317099010877,8.353346245653169e-95,0.3957317099010877,cross_day_mixed_outcome
手术当天_镇静评分,术后第一天_镇静评分,2673,0.5231070226350785,1.089347752568387e-187,0.3821920357931186,1.0453664869970513e-93,0.3821920357931186,cross_day_same_outcome
术后第一天_镇静评分,术后第二天_镇静评分,2664,0.45317891827162515,4.478489394324196e-135,0.3784609075806094,1.7816775287427155e-91,0.3784609075806094,cross_day_same_outcome
手术当天_恶心呕吐,术后第一天_恶心呕吐,2672,0.34427365842454616,3.208596880161867e-75,0.37158006827084183,2.9615778146613047e-88,0.37158006827084183,cross_day_same_outcome
术后第一天_活动痛,术后第三天_静息痛,2514,0.353454682801028,7.210571367325616e-75,0.36501764039699297,4.372817848751755e-80,0.36501764039699297,cross_day_mixed_outcome
术后第一天_恶心呕吐,术后第二天_恶心呕吐,2665,0.33390408863973475,2.02730523933437e-70,0.3396257949113596,6.109751806922942e-73,0.3396257949113596,cross_day_same_outcome
手术当天_镇静评分,手术当天_活动状态,2670,0.3146838292432127,1.8865729237824444e-62,0.33232672855084805,7.328791807491348e-70,0.33232672855084805,within_day
手术当天_活动状态,术后第一天_镇静评分,2670,0.17697520651312648,3.1654229895335423e-20,0.25262928434165605,3.770430461730204e-40,0.25262928434165605,cross_day_mixed_outcome
术后第一天_镇静评分,术后第三天_镇静评分,2512,0.366874138730583,7.010620319698837e-81,0.24203295377880726,8.197308079223094e-35,0.24203295377880726,cross_day_same_outcome
手术当天_活动状态,术后第二天_活动状态,2656,0.2145924186372151,4.8479138280223344e-29,0.23683004796188176,3.520664488185125e-35,0.23683004796188176,cross_day_same_outcome
手术当天_恶心呕吐,术后第二天_恶心呕吐,2657,0.18136684334142,4.4005628879148685e-21,0.2171049235634002,1.0336592133421814e-29,0.2171049235634002,cross_day_same_outcome
手术当天_活动状态,术后第三天_活动状态,2504,0.22710144365542118,1.1860611407979964e-30,0.21536477498734902,1.1574838989734917e-27,0.21536477498734902,cross_day_same_outcome
手术当天_镇静评分,术后第二天_静息痛,2656,0.15068722945362248,5.864141202641006e-15,0.1787198597464294,1.6780479822130023e-20,0.1787198597464294,cross_day_mixed_outcome
手术当天_镇静评分,术后第三天_静息痛,2507,0.15185132030105591,2.1096534915749752e-14,0.1718789134157418,4.466065079475981e-18,0.1718789134157418,cross_day_mixed_outcome
术后第一天_活动状态,术后第三天_活动痛,2512,0.16015564808105176,6.738877977618051e-16,0.17064585360698725,7.196921500570114e-18,0.17064585360698725,cross_day_mixed_outcome
手术当天_镇静评分,术后第二天_镇静评分,2658,0.3024029251451875,2.491202622332665e-57,0.16937392601432597,1.4732582527806471e-18,0.16937392601432597,cross_day_same_outcome
术后第一天_恶心呕吐,术后第三天_恶心呕吐,2511,0.18275675274493747,2.6759988798291053e-20,0.16695926704616013,3.7227808095774284e-17,0.16695926704616013,cross_day_same_outcome
手术当天_镇静评分,术后第一天_静息痛,2671,0.09192846092584803,1.946737410938391e-06,0.15802850941652416,2.1210999409452626e-16,0.15802850941652416,cross_day_mixed_outcome
术后第二天_镇静评分,术后第二天_恶心呕吐,2667,0.12173895131267425,2.835961060993765e-10,0.14712466566716126,2.2410081955830413e-14,0.14712466566716126,within_day
术后第一天_活动痛,术后第一天_活动状态,2677,0.13863141363003947,5.83798849581078e-13,0.14380465648980462,7.672032733332027e-14,0.14380465648980462,within_day
手术当天_镇静评分,术后第三天_活动痛,2507,0.11839442288867467,2.7482514334162843e-09,0.14165749669076,1.0392633923756815e-12,0.14165749669076,cross_day_mixed_outcome
术后第一天_活动状态,术后第二天_活动痛,2662,0.11516685505041913,2.537382357916796e-09,0.14071312246646955,3.032724019553705e-13,0.14071312246646955,cross_day_mixed_outcome
手术当天_镇静评分,术后第三天_镇静评分,2506,0.2615903826030784,1.7406191971126112e-40,0.14015089637450717,1.8248039724130103e-12,0.14015089637450717,cross_day_same_outcome
术后第二天_活动状态,术后第三天_活动痛,2516,0.10806883467449971,5.512562661747127e-08,0.1300689358966459,5.799367870771015e-11,0.1300689358966459,cross_day_mixed_outcome
手术当天_镇静评分,术后第一天_活动状态,2671,0.13553046747988057,2.0120827649994345e-12,0.12996228423505266,1.5606887613208396e-11,0.12996228423505266,cross_day_mixed_outcome
手术当天_镇静评分,术后第二天_活动痛,2657,0.0910643765191103,2.581617958240659e-06,0.12207405946389917,2.734942784836902e-10,0.12207405946389917,cross_day_mixed_outcome
术后第一天_活动状态,术后第三天_静息痛,2512,0.09881381136819967,6.969303578121719e-07,0.11925200272981287,2.030812245673227e-09,0.11925200272981287,cross_day_mixed_outcome
手术当天_活动状态,术后第一天_静息痛,2670,0.12678497154273266,4.87455504213068e-11,0.11798471757380616,9.654171206524866e-10,0.11798471757380616,cross_day_mixed_outcome
手术当天_镇静评分,术后第二天_活动状态,2658,0.10775564657495823,2.5615201498324348e-08,0.1179797086910229,1.0541064302985376e-09,0.1179797086910229,cross_day_mixed_outcome
术后第一天_活动状态,术后第二天_静息痛,2661,0.08989669347344456,3.40839039112443e-06,0.11790199499575665,1.0580977928301974e-09,0.11790199499575665,cross_day_mixed_outcome
术后第一天_静息痛,术后第一天_活动状态,2677,0.1107764691075851,9.107635562774484e-09,0.11263998925561862,5.100885297355347e-09,0.11263998925561862,within_day
术后第二天_静息痛,术后第二天_活动状态,2664,0.09753684765091772,4.560672478903834e-07,0.11255751104910706,5.69994531595857e-09,0.11255751104910706,within_day
手术当天_活动状态,术后第三天_活动痛,2505,0.10031895347039688,4.875437246086455e-07,0.1061107144749212,1.0194516275184747e-07,0.1061107144749212,cross_day_mixed_outcome
术后第二天_活动状态,术后第三天_静息痛,2516,0.10176841205886067,3.1303292636056087e-07,0.10601621076536846,9.814231671879461e-08,0.10601621076536846,cross_day_mixed_outcome
手术当天_活动状态,术后第三天_静息痛,2505,0.09093050790410408,5.15831948979483e-06,0.1058653985604851,1.091176941023269e-07,0.1058653985604851,cross_day_mixed_outcome
术后第一天_镇静评分,术后第一天_活动状态,2677,0.02489036810049846,0.19794829141405837,0.10516444563677252,4.931364734320164e-08,0.10516444563677252,within_day
手术当天_活动状态,术后第二天_静息痛,2654,0.08745666004039236,6.421055266786526e-06,0.10428238762452008,7.265859681927687e-08,0.10428238762452008,cross_day_mixed_outcome
术后第二天_活动痛,术后第二天_活动状态,2665,0.06357779754458927,0.0010238126629962083,0.10399928429793427,7.411476013284537e-08,0.10399928429793427,within_day
术后第三天_活动痛,术后第三天_活动状态,2517,0.1033768429946476,2.0172499312472993e-07,0.10244541123658113,2.595715255050995e-07,0.10244541123658113,within_day
术后第一天_镇静评分,术后第二天_活动状态,2664,0.0673894923561747,0.0005003619436156016,0.09347525023411189,1.3452645914090918e-06,0.09347525023411189,cross_day_mixed_outcome
术后第一天_静息痛,术后第一天_恶心呕吐,2678,0.08549691078451567,9.4031487873098e-06,0.0932522168345717,1.3379695592880771e-06,0.0932522168345717,within_day
手术当天_活动状态,术后第一天_活动痛,2670,0.10070268469417457,1.8447661268295683e-07,0.09221097144114176,1.81800416696598e-06,0.09221097144114176,cross_day_mixed_outcome
手术当天_镇静评分,术后第一天_活动痛,2671,0.008012689355330508,0.6789309699900627,0.09057617127758684,2.7510640760566237e-06,0.09057617127758684,cross_day_mixed_outcome
手术当天_恶心呕吐,术后第三天_恶心呕吐,2503,0.08552658734775978,1.8306057427149113e-05,0.08935971081469915,7.5560523970411865e-06,0.08935971081469915,cross_day_same_outcome
术后第三天_静息痛,术后第三天_恶心呕吐,2514,0.09276427387118688,3.1787618997599994e-06,0.0886182253870899,8.593129446092507e-06,0.0886182253870899,within_day
手术当天_活动状态,术后第二天_镇静评分,2656,0.06780295955515653,0.0004710520848101991,0.08786992308397915,5.756487795021645e-06,0.08786992308397915,cross_day_mixed_outcome
手术当天_活动状态,术后第二天_活动痛,2655,0.07319365620773077,0.0001601909298859694,0.08764111666739344,6.113248267445621e-06,0.08764111666739344,cross_day_mixed_outcome
手术当天_镇静评分,术后第三天_活动状态,2506,0.08964261747686508,6.979335575422073e-06,0.08498911385959944,2.043000424977621e-05,0.08498911385959944,cross_day_mixed_outcome
