,手术当天_静息痛,手术当天_活动痛,手术当天_镇静评分,手术当天_活动状态,手术当天_恶心呕吐,术后第一天_静息痛,术后第一天_活动痛,术后第一天_镇静评分,术后第一天_活动状态,术后第一天_恶心呕吐,术后第二天_静息痛,术后第二天_活动痛,术后第二天_镇静评分,术后第二天_活动状态,术后第二天_恶心呕吐,术后第三天_静息痛,术后第三天_活动痛,术后第三天_镇静评分,术后第三天_活动状态,术后第三天_恶心呕吐
手术当天_静息痛,1.0,0.8798553731042819,0.06342150711362736,0.05160408444251942,0.06380803165309769,0.748208954280604,0.49682275498153766,-0.009044911802768148,0.07987613135784075,0.045431511990058106,0.5968217635090135,0.43136999042595975,-0.027460920286356615,0.047782032634469625,0.019453194564813613,0.5027466718308191,0.3957317099010877,-0.030601671674587085,0.025359571202736506,0.027662532251391182
手术当天_活动痛,0.8798553731042819,1.0,0.0189717668319996,0.0188005535943786,0.06054224067296215,0.6573680803032766,0.6421866581270941,-0.03907121235887798,0.08024960690212098,0.029961885764044235,0.5052943981254279,0.5128482633377134,-0.03626239618403466,0.03924090155046874,-0.005208321020919682,0.4199167550788585,0.4491522565675216,-0.04269366575923305,0.02650892419925909,0.013580219440888164
手术当天_镇静评分,0.06342150711362736,0.0189717668319996,1.0,0.33232672855084805,0.043307994651723754,0.15802850941652416,0.09057617127758684,0.3821920357931186,0.12996228423505266,0.053050662711769274,0.1787198597464294,0.12207405946389917,0.16937392601432597,0.1179797086910229,0.03682420671284879,0.1718789134157418,0.14165749669076,0.14015089637450717,0.08498911385959944,0.021880244958693194
手术当天_活动状态,0.05160408444251942,0.0188005535943786,0.33232672855084805,1.0,0.0021617672875885604,0.11798471757380616,0.09221097144114176,0.25262928434165605,0.47536837885002103,0.019872350849187044,0.10428238762452008,0.08764111666739344,0.08786992308397915,0.23683004796188176,-0.007053997662476487,0.1058653985604851,0.1061107144749212,0.06950549706610297,0.21536477498734902,0.02435770002147041
手术当天_恶心呕吐,0.06380803165309769,0.06054224067296215,0.043307994651723754,0.0021617672875885604,1.0,0.06233323914502532,0.03397905417743845,0.0011673465342161775,-0.008245167627370228,0.37158006827084183,0.056155121080585645,0.03997742550160028,0.03757002469070412,0.02794353525639474,0.2171049235634002,0.04904353431762164,0.03373189938933413,-0.015053243506482255,0.024414779985926623,0.08935971081469915
术后第一天_静息痛,0.748208954280604,0.6573680803032766,0.15802850941652416,0.11798471757380616,0.06233323914502532,1.0,0.7089815584020751,0.0348284558327994,0.11263998925561862,0.0932522168345717,0.6918925706129281,0.5437389743536447,0.0027463541874926433,0.06563766743587435,0.030909707301076422,0.5737899440629753,0.4873449014973039,-0.0102882037326436,0.02624241665418536,0.031658006726140935
术后第一天_活动痛,0.49682275498153766,0.6421866581270941,0.09057617127758684,0.09221097144114176,0.03397905417743845,0.7089815584020751,1.0,-0.0051873124539374635,0.14380465648980462,0.056772632833712436,0.4595844027249761,0.6755331830031286,-0.021641859605291084,0.06701862295006762,-0.002973040815591534,0.36501764039699297,0.5535960050889881,-0.032042695957068525,0.04606524642470851,0.0161608858327872
术后第一天_镇静评分,-0.009044911802768148,-0.03907121235887798,0.3821920357931186,0.25262928434165605,0.0011673465342161775,0.0348284558327994,-0.0051873124539374635,1.0,0.10516444563677252,0.06502635160208103,0.07865346111669078,0.06095464595100329,0.3784609075806094,0.09347525023411189,0.004406559640034177,0.06461899351802507,0.06592516048925441,0.24203295377880726,0.08262452138360565,-0.015333939368889722
术后第一天_活动状态,0.07987613135784075,0.08024960690212098,0.12996228423505266,0.47536837885002103,-0.008245167627370228,0.11263998925561862,0.14380465648980462,0.10516444563677252,1.0,-0.03288240296651249,0.11790199499575665,0.14071312246646955,0.04915356299767797,0.48769709996360877,-0.04896519634095787,0.11925200272981287,0.17064585360698725,0.05145763082990624,0.4030453122923465,0.023696431064356458
术后第一天_恶心呕吐,0.045431511990058106,0.029961885764044235,0.053050662711769274,0.019872350849187044,0.37158006827084183,0.0932522168345717,0.056772632833712436,0.06502635160208103,-0.03288240296651249,1.0,0.05885791200446045,0.039455926922655093,0.04056033500253372,0.028925500316853456,0.3396257949113596,0.05210207987428316,0.036410457079607494,-0.010186578200582705,0.005206037598674601,0.16695926704616013
术后第二天_静息痛,0.5968217635090135,0.5052943981254279,0.1787198597464294,0.10428238762452008,0.056155121080585645,0.6918925706129281,0.4595844027249761,0.07865346111669078,0.11790199499575665,0.05885791200446045,1.0,0.735217072514154,-0.0009521694665208864,0.11255751104910706,0.05226147286304055,0.7871613367406883,0.6225929955673408,0.004793670987588514,0.0701749151879242,0.08496729647729162
