variable,n_non_missing,n_missing,missing_rate,mean,std,median,iqr,min,max
手术当天_静息痛,2674,15,0.005578281889178133,1.3199326851159312,1.266351722303234,1.0,2.0,0.0,8.0
手术当天_活动痛,2673,16,0.005950167348456675,2.4238683127572016,1.3246789806642425,2.0,1.0,0.0,9.0
手术当天_镇静评分,2673,16,0.005950167348456675,1.1406659184436962,0.501162426707701,1.0,0.0,0.0,5.0
手术当天_活动状态,2671,18,0.00669393826701376,3.0288281542493447,0.37365500728006884,3.0,0.0,0.0,4.0
手术当天_恶心呕吐,2672,17,0.006322052807735217,0.24176646706586827,0.691126531500679,0.0,0.0,0.0,3.0
术后第一天_静息痛,2679,10,0.003718854592785422,1.0963045912653975,1.0761091878209172,1.0,2.0,0.0,10.0
术后第一天_活动痛,2679,10,0.003718854592785422,2.3307204180664427,1.121948472747988,2.0,1.0,0.0,10.0
术后第一天_镇静评分,2679,10,0.003718854592785422,1.0425531914893618,0.3193702589067501,1.0,0.0,0.0,5.0
术后第一天_活动状态,2678,11,0.004090740052063964,2.863330843913368,0.5342155805169388,3.0,0.0,0.0,4.0
术后第一天_恶心呕吐,2680,9,0.00334696913350688,0.11044776119402985,0.4642129257361516,0.0,0.0,0.0,3.0
术后第二天_静息痛,2666,23,0.008553365563406471,0.794073518379595,0.8398933108317309,1.0,1.0,0.0,6.0
术后第二天_活动痛,2667,22,0.008181480104127928,1.9347581552305961,0.9941026253039499,2.0,1.0,0.0,21.0
术后第二天_镇静评分,2667,22,0.008181480104127928,1.0123734533183353,0.1694964919412219,1.0,0.0,0.0,5.0
术后第二天_活动状态,2667,22,0.008181480104127928,2.5009373828271464,0.8412534089251031,3.0,1.0,0.0,20.0
术后第二天_恶心呕吐,2667,22,0.008181480104127928,0.0412448443944507,0.2842865717589375,0.0,0.0,0.0,3.0
术后第三天_静息痛,2520,169,0.06284864261807363,0.6122619047619048,0.7468210004054711,0.0,1.0,0.0,6.9
术后第三天_活动痛,2519,170,0.06322052807735218,1.6546248511314015,0.8523954985654898,2.0,1.0,0.0,7.0
术后第三天_镇静评分,2518,171,0.06359241353663071,1.0067513899920573,0.13936291044093957,1.0,0.0,0.0,5.0
术后第三天_活动状态,2518,171,0.06359241353663071,2.2986497220015885,0.8422248118600377,3.0,1.0,0.0,4.0
术后第三天_恶心呕吐,2516,173,0.06433618445518781,0.014308426073131956,0.15118471403550993,0.0,0.0,0.0,3.0
