variable_1,variable_2,n_pairwise,pearson_r,pearson_p,spearman_r,spearman_p,abs_spearman_r,relationship
手术当天_静息痛,手术当天_活动痛,2673,0.8940783214723127,0.0,0.8798553731042819,0.0,0.8798553731042819,within_day
术后第二天_静息痛,术后第二天_活动痛,2665,0.723168855581223,0.0,0.735217072514154,0.0,0.735217072514154,within_day
术后第三天_静息痛,术后第三天_活动痛,2518,0.7658280685202155,0.0,0.7268735429757686,0.0,0.7268735429757686,within_day
术后第一天_静息痛,术后第一天_活动痛,2679,0.7783719220634717,0.0,0.7089815584020751,0.0,0.7089815584020751,within_day
手术当天_镇静评分,手术当天_活动状态,2670,0.3146838292432127,1.8865729237824444e-62,0.33232672855084805,7.328791807491348e-70,0.33232672855084805,within_day
术后第二天_镇静评分,术后第二天_恶心呕吐,2667,0.12173895131267425,2.835961060993765e-10,0.14712466566716126,2.2410081955830413e-14,0.14712466566716126,within_day
术后第一天_活动痛,术后第一天_活动状态,2677,0.13863141363003947,5.83798849581078e-13,0.14380465648980462,7.672032733332027e-14,0.14380465648980462,within_day
术后第一天_静息痛,术后第一天_活动状态,2677,0.1107764691075851,9.107635562774484e-09,0.11263998925561862,5.100885297355347e-09,0.11263998925561862,within_day
术后第二天_静息痛,术后第二天_活动状态,2664,0.09753684765091772,4.560672478903834e-07,0.11255751104910706,5.69994531595857e-09,0.11255751104910706,within_day
术后第一天_镇静评分,术后第一天_活动状态,2677,0.02489036810049846,0.19794829141405837,0.10516444563677252,4.931364734320164e-08,0.10516444563677252,within_day
术后第二天_活动痛,术后第二天_活动状态,2665,0.06357779754458927,0.0010238126629962083,0.10399928429793427,7.411476013284537e-08,0.10399928429793427,within_day
术后第三天_活动痛,术后第三天_活动状态,2517,0.1033768429946476,2.0172499312472993e-07,0.10244541123658113,2.595715255050995e-07,0.10244541123658113,within_day
术后第一天_静息痛,术后第一天_恶心呕吐,2678,0.08549691078451567,9.4031487873098e-06,0.0932522168345717,1.3379695592880771e-06,0.0932522168345717,within_day
术后第三天_静息痛,术后第三天_恶心呕吐,2514,0.09276427387118688,3.1787618997599994e-06,0.0886182253870899,8.593129446092507e-06,0.0886182253870899,within_day
术后第三天_静息痛,术后第三天_活动状态,2516,0.07026336545089293,0.0004202957026506228,0.0713525046749643,0.0003412209613661127,0.0713525046749643,within_day
术后第一天_镇静评分,术后第一天_恶心呕吐,2678,0.1085279130412094,1.799292807396832e-08,0.06502635160208103,0.0007597216009666086,0.06502635160208103,within_day
手术当天_静息痛,手术当天_恶心呕吐,2671,0.07164037298160279,0.000210952270241855,0.06380803165309769,0.000968476804358257,0.06380803165309769,within_day
手术当天_静息痛,手术当天_镇静评分,2670,0.006316263413167274,0.7442543873770998,0.06342150711362736,0.0010421794962371187,0.06342150711362736,within_day
手术当天_活动痛,手术当天_恶心呕吐,2671,0.0781960456594792,5.218707420039775e-05,0.06054224067296215,0.0017460764169238536,0.06054224067296215,within_day
