value,count,ratio
0.0,2135,0.7939754555596876
50.0,190,0.07065823726292302
75.0,135,0.050204537002603196
100.0,41,0.015247303830420231
40.0,35,0.013015991074748977
80.0,30,0.011156563778356266
60.0,26,0.009669021941242098
150.0,17,0.006322052807735217
62.5,12,0.004462625511342506
112.5,9,0.00334696913350688
37.5,7,0.0026031982149497955
90.0,5,0.001859427296392711
20.0,5,0.001859427296392711
30.0,4,0.0014875418371141688
38.0,4,0.0014875418371141688
625.0,3,0.0011156563778356265
36.0,3,0.0011156563778356265
87.5,3,0.0011156563778356265
77.5,2,0.0007437709185570844
93.75,2,0.0007437709185570844
125.0,2,0.0007437709185570844
120.0,2,0.0007437709185570844
140.0,1,0.0003718854592785422
25.0,1,0.0003718854592785422
70.0,1,0.0003718854592785422
130.0,1,0.0003718854592785422
180.0,1,0.0003718854592785422
72.0,1,0.0003718854592785422
45.0,1,0.0003718854592785422
27.0,1,0.0003718854592785422
74.0,1,0.0003718854592785422
76.0,1,0.0003718854592785422
78.75,1,0.0003718854592785422
56.25,1,0.0003718854592785422
22.5,1,0.0003718854592785422
131.25,1,0.0003718854592785422
55.5,1,0.0003718854592785422
10.0,1,0.0003718854592785422
160.0,1,0.0003718854592785422
