value,count,ratio
0.0,2529,0.9404983265154332
133.0,87,0.03235403495723317
80.0,22,0.008181480104127928
66.5,19,0.007065823726292302
79.8,6,0.002231312755671253
53.2,5,0.001859427296392711
53.0,2,0.0007437709185570844
65.0,2,0.0007437709185570844
62.5,2,0.0007437709185570844
200.0,2,0.0007437709185570844
266.0,1,0.0003718854592785422
93.0,1,0.0003718854592785422
156.0,1,0.0003718854592785422
88.6,1,0.0003718854592785422
40.0,1,0.0003718854592785422
5.0,1,0.0003718854592785422
120.0,1,0.0003718854592785422
119.7,1,0.0003718854592785422
77.0,1,0.0003718854592785422
58.0,1,0.0003718854592785422
33.0,1,0.0003718854592785422
100.0,1,0.0003718854592785422
88.7,1,0.0003718854592785422
