value,count,ratio
65.0,328,0.12197843064336185
60.0,280,0.10412792859799182
70.0,244,0.0907400520639643
55.0,177,0.06582372629230197
75.0,164,0.060989215321680924
80.0,127,0.04722945332837486
50.0,91,0.03384157679434734
68.0,70,0.026031982149497954
62.0,66,0.024544440312383786
72.0,51,0.01896615842320565
58.0,49,0.01822238750464857
85.0,49,0.01822238750464857
56.0,46,0.017106731126812942
64.0,44,0.016362960208255856
67.0,43,0.015991074748977315
52.0,42,0.015619189289698772
63.0,42,0.015619189289698772
74.0,39,0.014503532911863145
66.0,38,0.014131647452584604
45.0,36,0.01338787653402752
77.0,34,0.012644105615470434
57.0,33,0.012272220156191893
90.0,33,0.012272220156191893
53.0,32,0.01190033469691335
73.0,31,0.011528449237634809
61.0,28,0.010412792859799182
59.0,25,0.009297136481963555
78.0,25,0.009297136481963555
48.0,22,0.008181480104127928
82.0,21,0.007809594644849386
54.0,20,0.007437709185570844
69.0,20,0.007437709185570844
76.0,20,0.007437709185570844
81.0,19,0.007065823726292302
71.0,18,0.00669393826701376
49.0,16,0.005950167348456675
51.0,15,0.005578281889178133
79.0,14,0.005206396429899591
95.0,14,0.005206396429899591
84.0,13,0.004834510970621049
83.0,13,0.004834510970621049
46.0,13,0.004834510970621049
88.0,12,0.004462625511342506
100.0,12,0.004462625511342506
42.0,11,0.004090740052063964
47.0,11,0.004090740052063964
87.0,9,0.00334696913350688
86.0,8,0.0029750836742283376
72.5,6,0.002231312755671253
89.0,6,0.002231312755671253
43.0,5,0.001859427296392711
105.0,5,0.001859427296392711
91.0,5,0.001859427296392711
40.0,5,0.001859427296392711
97.0,4,0.0014875418371141688
62.5,4,0.0014875418371141688
44.0,4,0.0014875418371141688
98.0,3,0.0011156563778356265
96.0,3,0.0011156563778356265
35.0,3,0.0011156563778356265
70.5,3,0.0011156563778356265
93.0,3,0.0011156563778356265
125.0,3,0.0011156563778356265
94.0,3,0.0011156563778356265
52.5,2,0.0007437709185570844
101.0,2,0.0007437709185570844
113.0,2,0.0007437709185570844
115.0,2,0.0007437709185570844
120.0,2,0.0007437709185570844
77.5,2,0.0007437709185570844
92.0,2,0.0007437709185570844
107.0,2,0.0007437709185570844
61.5,2,0.0007437709185570844
103.0,2,0.0007437709185570844
67.5,2,0.0007437709185570844
87.5,2,0.0007437709185570844
71.5,1,0.0003718854592785422
110.0,1,0.0003718854592785422
165.0,1,0.0003718854592785422
88.4,1,0.0003718854592785422
73.5,1,0.0003718854592785422
63.5,1,0.0003718854592785422
69.5,1,0.0003718854592785422
57.5,1,0.0003718854592785422
74.5,1,0.0003718854592785422
104.0,1,0.0003718854592785422
82.3,1,0.0003718854592785422
66.5,1,0.0003718854592785422
58.4,1,0.0003718854592785422
84.5,1,0.0003718854592785422
48.5,1,0.0003718854592785422
54.8,1,0.0003718854592785422
57.4,1,0.0003718854592785422
64.7,1,0.0003718854592785422
64.5,1,0.0003718854592785422
102.0,1,0.0003718854592785422
99.0,1,0.0003718854592785422
38.0,1,0.0003718854592785422
141.0,1,0.0003718854592785422
73.6,1,0.0003718854592785422
95.5,1,0.0003718854592785422
70.4,1,0.0003718854592785422
78.5,1,0.0003718854592785422
41.0,1,0.0003718854592785422
39.0,1,0.0003718854592785422
88.5,1,0.0003718854592785422
30.0,1,0.0003718854592785422
24.0,1,0.0003718854592785422
