Value,count,ratio
0.0,2529,0.9404983265154332
5.0,1,0.0003718854592785422
33.0,1,0.0003718854592785422
40.0,1,0.0003718854592785422
53.0,2,0.0007437709185570844
53.2,5,0.001859427296392711
58.0,1,0.0003718854592785422
62.5,2,0.0007437709185570844
65.0,2,0.0007437709185570844
66.5,19,0.007065823726292302
77.0,1,0.0003718854592785422
79.8,6,0.002231312755671253
80.0,22,0.008181480104127928
88.6,1,0.0003718854592785422
88.7,1,0.0003718854592785422
93.0,1,0.0003718854592785422
100.0,1,0.0003718854592785422
119.7,1,0.0003718854592785422
120.0,1,0.0003718854592785422
133.0,87,0.03235403495723317
156.0,1,0.0003718854592785422
200.0,2,0.0007437709185570844
266.0,1,0.0003718854592785422
