Value,count,ratio
0.0,2017,0.7500929713648197
5.0,1,0.0003718854592785422
9.4,1,0.0003718854592785422
10.0,5,0.001859427296392711
15.0,11,0.004090740052063964
20.0,297,0.11044998140572704
21.0,1,0.0003718854592785422
25.0,23,0.008553365563406471
30.0,208,0.07735217552993678
31.0,2,0.0007437709185570844
35.0,5,0.001859427296392711
40.0,89,0.033097805875790254
45.0,1,0.0003718854592785422
50.0,5,0.001859427296392711
60.0,17,0.006322052807735217
65.0,1,0.0003718854592785422
70.0,1,0.0003718854592785422
80.0,1,0.0003718854592785422
250.0,3,0.0011156563778356265
