bin_left,bin_right,count,ratio
0.0,20.0,1315,0.489029378951283
20.0,40.0,0,0.0
40.0,60.0,0,0.0
60.0,80.0,0,0.0
80.0,100.0,0,0.0
100.0,120.0,44,0.016362960208255856
120.0,140.0,0,0.0
140.0,160.0,10,0.003718854592785422
160.0,180.0,0,0.0
180.0,200.0,0,0.0
200.0,220.0,471,0.17515805132019338
220.0,240.0,0,0.0
240.0,260.0,56,0.020825585719598364
260.0,280.0,0,0.0
280.0,300.0,0,0.0
300.0,320.0,690,0.25660096690219414
320.0,340.0,0,0.0
340.0,360.0,1,0.0003718854592785422
360.0,380.0,0,0.0
380.0,400.0,0,0.0
400.0,420.0,89,0.033097805875790254
420.0,440.0,0,0.0
440.0,460.0,0,0.0
460.0,480.0,0,0.0
480.0,500.0,0,0.0
500.0,520.0,9,0.00334696913350688
520.0,540.0,0,0.0
540.0,560.0,0,0.0
560.0,580.0,0,0.0
580.0,600.0,4,0.0014875418371141688
