feature,coefficient,abs_coefficient
手术当天_静息痛,0.716084131384435,0.716084131384435
手术当天_镇静评分,0.07971478710491162,0.07971478710491162
年份,-0.058718845792751495,0.058718845792751495
手术类型_妇科,-0.04920872792812214,0.04920872792812214
麻醉方法_oh_腰硬联合,0.04591446394807734,0.04591446394807734
阻滞镇痛用药_布比卡因脂质体_dose,-0.043748579480109774,0.043748579480109774
手术当天_活动状态,0.04342139292628979,0.04342139292628979
镇痛泵配方_has_纳布啡,0.040008548880765125,0.040008548880765125
手术类型_骨科-脊柱,-0.03783548388056325,0.03783548388056325
年龄,-0.03541265286052265,0.03541265286052265
手术类型_骨科-上肢,0.03320172486523794,0.03320172486523794
阻滞镇痛用药_has_罗哌卡因,-0.026890372168769036,0.026890372168769036
手术月份,-0.023294334057336073,0.023294334057336073
镇痛泵配方_has_地佐辛,-0.022171734845262435,0.022171734845262435
镇痛泵配方_纳布啡_mg,-0.021755514141952665,0.021755514141952665
镇痛方式_oh_PCEA,0.017091485825842335,0.017091485825842335
镇痛方式_oh_PCNA,0.01694445298987556,0.01694445298987556
背景量,0.016942128894745924,0.016942128894745924
手术类型_腹外科-其他,-0.014492326762709926,0.014492326762709926
手术类型_骨科-其他,-0.010901831974542678,0.010901831974542678
手术星期,0.009353062056474393,0.009353062056474393
总量,0.005824095935955322,0.005824095935955322
麻醉方法_oh_硬膜外,-0.005423701696199523,0.005423701696199523
阻滞镇痛部位_椎旁阻滞,0.0036084938392749524,0.0036084938392749524
阻滞镇痛用药_has_布比卡因脂质体,-0.003212028373722209,0.003212028373722209
手术类型_其他,-0.0029714324237332394,0.0029714324237332394
体重,0.0028212932348053864,0.0028212932348053864
麻醉方法_oh_其他,-0.0021815863883597655,0.0021815863883597655
手术类型_腹外科-下腹,0.00024894552085822204,0.00024894552085822204
麻醉方法_oh_腰麻,-0.0,0.0
麻醉方法_oh_神经阻滞,0.0,0.0
手术类型_骨科-下肢,0.0,0.0
阻滞镇痛部位_其他,0.0,0.0
阻滞镇痛部位_未记录/未实施,0.0,0.0
阻滞镇痛部位_胸壁平面阻滞,0.0,0.0
阻滞镇痛部位_其他外周神经阻滞,-0.0,0.0
阻滞镇痛部位_腹壁平面阻滞,-0.0,0.0
镇痛方式_oh_PICA,-0.0,0.0
阻滞镇痛部位_下肢外周神经阻滞,-0.0,0.0
阻滞镇痛部位_上肢/颈丛神经阻滞,0.0,0.0
镇痛方式_oh_PCIA,0.0,0.0
性别_num,0.0,0.0
ASA分级_num,0.0,0.0
手术类型_产科,-0.0,0.0
手术类型_腹外科-上腹,0.0,0.0
麻醉方法_oh_插管全麻,0.0,0.0
镇痛泵配方_has_舒芬,0.0,0.0
镇痛泵配方_舒芬_mg,-0.0,0.0
阻滞镇痛用药_罗哌卡因_dose,0.0,0.0
镇痛泵配方_地佐辛_mg,-0.0,0.0
镇痛泵配方_布托啡诺_mg,-0.0,0.0
镇痛泵配方_has_布托啡诺,-0.0,0.0
镇痛泵配方_has_曲马多,0.0,0.0
镇痛泵配方_曲马多_mg,0.0,0.0
镇痛泵配方_has_帕洛诺司琼,-0.0,0.0
镇痛泵配方_帕洛诺司琼_mg,-0.0,0.0
镇痛泵配方_羟考酮_mg,0.0,0.0
镇痛泵配方_has_羟考酮,0.0,0.0
阻滞镇痛用药_has_布比卡因,-0.0,0.0
阻滞镇痛用药_布比卡因_dose,-0.0,0.0
阻滞镇痛用药_总量,-0.0,0.0
阻滞镇痛用药_总体积_ml,-0.0,0.0
手术当天_活动痛,0.0,0.0
手术当天_恶心呕吐,0.0,0.0
