param_model__alpha,param_model__l1_ratio,mean_test_score,std_test_score,rank_test_score,mean_train_score,std_train_score
0.01,0.9,-0.5101614709507593,0.03634407939469366,1,-0.49816931984962254,0.018668590550729242
0.01,0.7,-0.5126560492783153,0.034206459680776714,2,-0.49755065058148784,0.018639978359856015
0.01,0.5,-0.517311196058677,0.03016405267696952,3,-0.4968087426085911,0.018596583300706442
0.01,0.3,-0.5218005632056004,0.027154531560493134,4,-0.4962973470685229,0.018727513698141164
0.1,0.1,-0.5244307115218375,0.03199307996811775,5,-0.5133285902290288,0.018782209000897502
0.01,0.1,-0.5271725598899548,0.026312891972948806,6,-0.4958687622619127,0.018901810480629368
0.1,0.3,-0.5285907738164696,0.03010266047849776,7,-0.5215415856630251,0.01848793706717609
0.001,0.9,-0.5307373905029148,0.026204187048258335,8,-0.49428201734037736,0.01874480961049667
0.001,0.7,-0.5316354263277144,0.026351717039659807,9,-0.4942651257326113,0.018794748801328236
0.001,0.5,-0.5325300582789592,0.02647405092354619,10,-0.49427891805124047,0.01883775059758672
0.1,0.5,-0.5330181178627396,0.029978149294745682,11,-0.5281119738012368,0.01859625712510106
0.001,0.3,-0.5334549833999324,0.0266032802566736,12,-0.4943396057589806,0.01886969193295637
0.001,0.1,-0.5343639628846133,0.026793624191853854,13,-0.49438577529784655,0.018908428979240575
0.1,0.7,-0.5356520797846829,0.030968631124015402,14,-0.5322443039680722,0.018703298063846456
0.1,0.9,-0.5391907363370977,0.03069776069895691,15,-0.5365559014202105,0.0197034475691379
1.0,0.1,-0.6245609814409719,0.02172034468088488,16,-0.6225506499370093,0.01417509036828338
1.0,0.3,-0.6743209659321016,0.019581179665050217,17,-0.6733982658171839,0.01513916040955063
1.0,0.5,-0.7400767134950068,0.019578470506085202,18,-0.7391908549583284,0.014433495398381601
1.0,0.7,-0.811707296492623,0.020717547078929408,19,-0.810679481025641,0.013599794549494096
1.0,0.9,-0.8299826272536149,0.020775863612337825,20,-0.8298113373218975,0.00324172495205413
10.0,0.1,-0.8299826272536149,0.020775863612337825,20,-0.8298113373218975,0.00324172495205413
10.0,0.3,-0.8299826272536149,0.020775863612337825,20,-0.8298113373218975,0.00324172495205413
10.0,0.5,-0.8299826272536149,0.020775863612337825,20,-0.8298113373218975,0.00324172495205413
10.0,0.7,-0.8299826272536149,0.020775863612337825,20,-0.8298113373218975,0.00324172495205413
10.0,0.9,-0.8299826272536149,0.020775863612337825,20,-0.8298113373218975,0.00324172495205413
