target,class_0_label,class_1_label,p_true_low_pred_low,p_true_low_pred_high,p_true_high_pred_low,p_true_high_pred_high,count_true_low_pred_low,count_true_low_pred_high,count_true_high_pred_low,count_true_high_pred_high,auc,accuracy,precision,recall,specificity,fpr,f1,log_loss,brier
SurgeryDay_RestPain,Class 0 (0-3),Class 1 (4-10),0.742914979757085,0.25708502024291496,0.6829268292682927,0.3170731707317073,367,127,28,13,0.5551496000789967,0.7102803738317757,0.09285714285714286,0.3170731707317073,0.742914979757085,0.25708502024291496,0.14364640883977903,0.6597342401656131,0.23409935512171368
SurgeryDay_MovementPain,Class 0 (0-3),Class 1 (4-10),0.3764172335600907,0.6235827664399093,0.27956989247311825,0.7204301075268817,166,275,26,67,0.545948845488016,0.4363295880149813,0.195906432748538,0.7204301075268817,0.3764172335600907,0.6235827664399093,0.3080459770114942,0.8039368595175651,0.3031382846281932
SurgeryDay_SedationScore,Class 0 (1-2),Class 1 (3-5),0.9622641509433962,0.03773584905660377,0.5,0.5,510,20,2,2,0.8816037735849057,0.9588014981273408,0.09090909090909091,0.5,0.9622641509433962,0.03773584905660377,0.15384615384615385,0.32959374768247196,0.09162356689520318
SurgeryDay_NauseaVomiting,Class 0 (0-1),Class 1 (2-3),0.6329365079365079,0.36706349206349204,0.4,0.6,319,185,12,18,0.6461640211640212,0.6310861423220974,0.08866995073891626,0.6,0.6329365079365079,0.36706349206349204,0.15450643776824036,0.7172000821567472,0.26118929045327005
POD1_RestPain,Class 0 (0-3),Class 1 (4-10),0.8529980657640233,0.1470019342359768,0.7222222222222222,0.2777777777777778,441,76,13,5,0.5459918332258757,0.8336448598130841,0.06172839506172839,0.2777777777777778,0.8529980657640233,0.1470019342359768,0.10101010101010101,0.47689715495979307,0.1501466909397174
POD1_MovementPain,Class 0 (0-3),Class 1 (4-10),0.36116910229645094,0.6388308977035491,0.21428571428571427,0.7857142857142857,173,306,12,44,0.6242543990456307,0.405607476635514,0.12571428571428572,0.7857142857142857,0.36116910229645094,0.6388308977035491,0.2167487684729064,0.7516927773146168,0.2780115692460138
POD1_SedationScore,Class 0 (1-2),Class 1 (3-5),0.9588014981273408,0.04119850187265917,0.5,0.5,512,22,1,1,0.8061797752808989,0.957089552238806,0.043478260869565216,0.5,0.9588014981273408,0.04119850187265917,0.08,0.2985099972409881,0.07588598885285121
POD1_NauseaVomiting,Class 0 (0-1),Class 1 (2-3),0.7880539499036608,0.2119460500963391,0.47058823529411764,0.5294117647058824,409,110,8,9,0.7194831689901394,0.7798507462686567,0.07563025210084033,0.5294117647058824,0.7880539499036608,0.2119460500963391,0.1323529411764706,0.5135463054871383,0.1683164636872089
POD2_RestPain,Class 0 (0-3),Class 1 (4-10),0.973384030418251,0.026615969581749048,1.0,0.0,512,14,5,0,0.629277566539924,0.9642184557438794,0.0,0.0,0.973384030418251,0.026615969581749048,0.0,0.2979130525352907,0.07230920857694262
POD2_MovementPain,Class 0 (0-3),Class 1 (4-10),0.595703125,0.404296875,0.35,0.65,305,207,7,13,0.64150390625,0.5977443609022557,0.05909090909090909,0.65,0.595703125,0.404296875,0.10833333333333332,0.5742023717997716,0.194423772910849
POD2_SedationScore,Class 0 (1-2),Class 1 (3-5),0.9849624060150376,0.015037593984962405,1.0,0.0,524,8,2,0,0.5836466165413534,0.9812734082397003,0.0,0.0,0.9849624060150376,0.015037593984962405,0.0,0.18884007781456183,0.03701874674852597
POD2_NauseaVomiting,Class 0 (0-1),Class 1 (2-3),0.9204545454545454,0.07954545454545454,1.0,0.0,486,42,6,0,0.6527777777777778,0.9101123595505618,0.0,0.0,0.9204545454545454,0.07954545454545454,0.0,0.32353737980836667,0.08639585340541087
POD3_RestPain,Class 0 (0-3),Class 1 (4-10),0.9542743538767395,0.04572564612326044,0.75,0.25,480,23,3,1,0.7554671968190855,0.9487179487179487,0.041666666666666664,0.25,0.9542743538767395,0.04572564612326044,0.07142857142857142,0.23880573545515232,0.05352036430281055
POD3_MovementPain,Class 0 (0-3),Class 1 (4-10),0.678,0.322,0.16666666666666666,0.8333333333333334,339,161,1,5,0.8246666666666667,0.6798418972332015,0.030120481927710843,0.8333333333333334,0.678,0.322,0.05813953488372092,0.4600115784628797,0.14122036551112435
POD3_SedationScore,Class 0 (1-2),Class 1 (3-5),0.9881422924901185,0.011857707509881422,1.0,0.0,500,6,1,0,0.12055335968379446,0.9861932938856016,0.0,0.0,0.9881422924901185,0.011857707509881422,0.0,0.16376236367614197,0.030134819630921572
POD3_NauseaVomiting,Class 0 (0-1),Class 1 (2-3),0.9467455621301775,0.05325443786982249,0.0,0.0,480,27,0,0,,0.9467455621301775,0.0,0.0,0.9467455621301775,0.05325443786982249,0.0,0.224575278764691,0.04932645201714304
