feature_en,feature,importance
surgery_day_rest_pain,手术当天_静息痛,0.4388603668832833
surgery_day_movement_pain,手术当天_活动痛,0.1948735263984199
age,年龄,0.0467810365107668
weight,体重,0.0384516390948135
surgery_weekday,手术星期,0.0256787418596187
surgery_month,手术月份,0.0256744099159673
asagrade_num,ASA分级_num,0.0214401382152992
surgery_day_activity_status,手术当天_活动状态,0.013643874179338
basal_dose,背景量,0.0117011324356773
pump_formula_tramadol_mg,镇痛泵配方_曲马多_mg,0.0111588040839994
surgery_type_orthopedics_upper_limb,手术类型_骨科-上肢,0.0107625825119135
surgery_day_nausea_vomiting,手术当天_恶心呕吐,0.0100269437883816
total_amount,总量,0.0092430497086246
year,年份,0.0090937177834144
block_analgesic_drug_total_amount,阻滞镇痛用药_总量,0.0088065765410919
block_analgesic_drug_ropivacaine_dose,阻滞镇痛用药_罗哌卡因_dose,0.0079124534479165
anesthesia_method_combined_spinal_epidural,麻醉方法_oh_腰硬联合,0.0076500272530142
analgesia_mode_pcna,镇痛方式_oh_PCNA,0.0072322876998267
surgery_day_sedation_score,手术当天_镇静评分,0.0070036331470573
pump_formula_oxycodone_mg,镇痛泵配方_羟考酮_mg,0.0067948214478023
