rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,param_model__n_estimators,param_model__max_depth,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_samples
1,-0.41267070063694267,0.01912604968896968,-0.1541171974522293,0.0024748726731876544,500,,2,1,0.8,
2,-0.433475432211101,0.017380273068410883,-0.18568774643615407,0.003121303341580837,700,,2,1,sqrt,0.85
3,-0.4395309807482025,0.017689549482664907,-0.25195933016091054,0.0042528423272796025,700,24,8,1,0.6,
4,-0.44683985673923543,0.017495668077349962,-0.2723507600548013,0.004179150631145864,900,24,8,1,0.6,0.85
5,-0.4497074336431647,0.015877887686329036,-0.2836946738032002,0.003497238322696897,700,,2,2,0.4,0.7
6,-0.45084666889560826,0.017377691640310392,-0.2884178012200658,0.004463287174298715,500,12,2,1,0.4,0.85
7,-0.4677471989351226,0.014841236338514183,-0.3367828533891677,0.004861726641580374,900,12,4,2,0.4,0.7
8,-0.4721594389726348,0.014550461443524143,-0.34900899646150135,0.005179222073953795,300,,12,2,0.8,0.7
9,-0.48856865418080364,0.016516740495441416,-0.39738118999144634,0.005722887009080582,300,16,12,6,0.8,0.7
10,-0.49284197367375443,0.01354734805056446,-0.4068709200254895,0.005812680099377476,500,8,4,2,0.6,0.85
11,-0.49398478987508443,0.016268770692062715,-0.4028329319519739,0.005401547310097375,300,16,4,6,0.4,0.85
12,-0.49797781487012205,0.01714165250551677,-0.4173966702387617,0.005984499571850383,500,16,8,6,0.4,0.7
13,-0.5141329460943611,0.018196818986804576,-0.37641062643947465,0.0037757203397738395,300,16,4,2,log2,
14,-0.5279854421523922,0.015831623442835948,-0.43029424920329545,0.004886843142816456,900,16,4,4,sqrt,
15,-0.570783525969748,0.01552664969680504,-0.4980628261218045,0.006275154516269783,900,16,2,4,log2,0.7
16,-0.6273004777522369,0.02080454742129175,-0.5832886512386409,0.004223562524726353,300,8,2,4,log2,
