feature_en,feature,importance
surgery_day_rest_pain,手术当天_静息痛,0.4260865526999077
surgery_day_movement_pain,手术当天_活动痛,0.104609282969583
age,年龄,0.0607218538302871
weight,体重,0.0503832952303742
surgery_month,手术月份,0.0331154823855549
surgery_weekday,手术星期,0.0293516819212629
asagrade_num,ASA分级_num,0.0259846203211114
surgery_day_nausea_vomiting,手术当天_恶心呕吐,0.0171440162100064
surgery_day_activity_status,手术当天_活动状态,0.0159162305222425
basal_dose,背景量,0.0140356708821297
surgery_type_orthopedics_upper_limb,手术类型_骨科-上肢,0.0133701395538379
analgesia_mode_pcna,镇痛方式_oh_PCNA,0.013251687654976
pump_formula_tramadol_mg,镇痛泵配方_曲马多_mg,0.0128546840948296
block_analgesic_drug_total_amount,阻滞镇痛用药_总量,0.0124025899312754
total_amount,总量,0.0121955666354593
year,年份,0.0121408549899126
block_analgesic_drug_ropivacaine_dose,阻滞镇痛用药_罗哌卡因_dose,0.0097124875699022
pump_formula_nalbuphine_mg,镇痛泵配方_纳布啡_mg,0.0091406497820368
surgery_day_sedation_score,手术当天_镇静评分,0.0090217024459442
pump_formula_sufentanil_mg,镇痛泵配方_舒芬_mg,0.0088081831024909
