rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,param_model__n_estimators,param_model__max_depth,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_samples
1,-0.31753949044585983,0.008963310862641634,-0.11735456475583865,0.0012845828262653552,500,,2,1,0.8,
2,-0.3436860782529572,0.0041664222124938345,-0.1470154686078253,0.0011661923416181736,700,,2,1,sqrt,0.85
3,-0.3604639215446766,0.010563965143809502,-0.2086200255901185,0.0025811615718334953,700,24,8,1,0.6,
4,-0.3722849999510415,0.010150866395173118,-0.22955789898373308,0.0024109314079978662,900,24,8,1,0.6,0.85
5,-0.37814816561385206,0.00806709578087792,-0.2398747235045425,0.002050257987344809,700,,2,2,0.4,0.7
6,-0.3832843734107957,0.00944613544456492,-0.24660171108132622,0.004568405061878311,500,12,2,1,0.4,0.85
7,-0.4070193298480824,0.008464440517567269,-0.2956851603266343,0.004158198378165953,900,12,4,2,0.4,0.7
8,-0.4185337889018822,0.012538956681186122,-0.3123593076867393,0.003178965202499169,300,,12,2,0.8,0.7
9,-0.44821765335860203,0.011521538937365527,-0.37186274997984303,0.006786379529659362,500,8,4,2,0.6,0.85
10,-0.4490287493216315,0.014217010138261278,-0.36692858383304955,0.0042072999387034885,300,16,12,6,0.8,0.7
11,-0.4499044234777713,0.004917795543959683,-0.3318457891306812,0.004551288078243337,300,16,4,2,log2,
12,-0.4502999244298772,0.010615134664773106,-0.3687725993120188,0.004014814143344741,300,16,4,6,0.4,0.85
13,-0.46077780957011494,0.01084919861275916,-0.38735262812972177,0.003924293881854554,500,16,8,6,0.4,0.7
14,-0.47927272582598174,0.007065142926188543,-0.39212512624980506,0.0033384405936400688,900,16,4,4,sqrt,
15,-0.5268469292946831,0.0056801591636245884,-0.4610288840463672,0.004556743440288514,900,16,2,4,log2,0.7
16,-0.5845412949346893,0.007046273209046776,-0.5450583883667974,0.005547545598809072,300,8,2,4,log2,
