rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,param_model__n_estimators,param_model__max_depth,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_samples
1,-0.7043116718184923,0.009212420286600402,-0.5810401434229382,0.0037108011098098853,500,8,4,2,0.6,0.85
2,-0.7050437001807475,0.008954653366720909,-0.48935795984842057,0.00403165437056668,900,12,4,2,0.4,0.7
3,-0.7053512854691891,0.008511727305573712,-0.5401467593725182,0.0025078336106867643,300,16,12,6,0.8,0.7
4,-0.7063523283538009,0.009339393495758018,-0.48740904578200145,0.001771025035414508,300,,12,2,0.8,0.7
5,-0.707314054522868,0.009146403373845154,-0.45162210813286996,0.005072104776174265,500,12,2,1,0.4,0.85
6,-0.7077729015860941,0.008369687302881063,-0.543484099649567,0.003064692576950606,300,16,4,6,0.4,0.85
7,-0.7079801964314244,0.008874831715846448,-0.41226543881022604,0.0020441305834729855,700,,2,2,0.4,0.7
8,-0.7086246857888985,0.008930992375131255,-0.5632620334384073,0.002750471787551276,500,16,8,6,0.4,0.7
9,-0.7099842881759381,0.009398182510465463,-0.39752666037909934,0.001785186196879614,900,24,8,1,0.6,0.85
10,-0.7105214138450251,0.00980608930291852,-0.36678955477078734,0.001365316366024036,700,24,8,1,0.6,
11,-0.7148021621583958,0.009911601155978953,-0.26288898520373055,0.0008427524181370882,500,,2,1,0.8,
12,-0.7199597329603483,0.010965088637820265,-0.30795885696146896,0.0014025737199681947,700,,2,1,sqrt,0.85
13,-0.7264410054315273,0.0098496474759403,-0.5507291643336194,0.0022032439623243215,900,16,4,4,sqrt,
14,-0.7336816733458718,0.010612429698612102,-0.4885798353959995,0.002974595373644645,300,16,4,2,log2,
15,-0.7401639596489956,0.009340810529390982,-0.6128527490925997,0.002714873608368913,900,16,2,4,log2,0.7
16,-0.7666492536037512,0.005639357563332907,-0.7063919869608613,0.003766697916341313,300,8,2,4,log2,
