feature_en,feature,importance
surgery_day_rest_pain,手术当天_静息痛,0.4955097462862511
surgery_day_movement_pain,手术当天_活动痛,0.1675826667671756
age,年龄,0.0416648445423349
weight,体重,0.0315249286164991
surgery_weekday,手术星期,0.0253971458227869
surgery_month,手术月份,0.0205114311009857
surgery_day_activity_status,手术当天_活动状态,0.0202820027756884
surgery_day_sedation_score,手术当天_镇静评分,0.0153521370585972
asagrade_num,ASA分级_num,0.0145379826762669
basal_dose,背景量,0.0114863225172606
anesthesia_method_combined_spinal_epidural,麻醉方法_oh_腰硬联合,0.0109243619070974
pump_formula_tramadol_mg,镇痛泵配方_曲马多_mg,0.0108069687054919
pump_formula_nalbuphine_mg,镇痛泵配方_纳布啡_mg,0.0105420270448994
surgery_day_nausea_vomiting,手术当天_恶心呕吐,0.009077156588329
year,年份,0.0090555318588768
surgery_type_orthopedics_upper_limb,手术类型_骨科-上肢,0.0083793082054264
total_amount,总量,0.0070424815517343
pump_formula_palonosetron_mg,镇痛泵配方_帕洛诺司琼_mg,0.0068871073340633
block_analgesic_drug_ropivacaine_dose,阻滞镇痛用药_罗哌卡因_dose,0.0068429018546822
block_analgesic_drug_total_volume_ml,阻滞镇痛用药_总体积_ml,0.0061961269359711
