rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,param_model__n_estimators,param_model__max_depth,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_samples
1,-0.49381580874268505,0.020840184162193194,-0.3773560449527506,0.009560628571455522,500,8,4,2,0.6,0.85
2,-0.4959865792897463,0.0214508828765827,-0.3394062420674764,0.009085711298693686,900,12,4,2,0.4,0.7
3,-0.4972230969906877,0.017513747441412084,-0.405256640681207,0.008854193037006413,300,16,12,6,0.8,0.7
4,-0.49777511504326666,0.02140524922444273,-0.31419864342336035,0.008326572371369417,700,,2,2,0.4,0.7
5,-0.4978420449145903,0.019885658689458907,-0.3702192779429177,0.011389291080234032,300,,12,2,0.8,0.7
6,-0.4987280954078931,0.02493957124982356,-0.28442692418505605,0.005435344737959963,500,12,2,1,0.4,0.85
7,-0.4999042901900951,0.017494598527735467,-0.4099966840127596,0.009389210242251643,300,16,4,6,0.4,0.85
8,-0.5001954280484298,0.01837853252810551,-0.4206322116630243,0.009344786991266337,500,16,8,6,0.4,0.7
9,-0.5019867522612997,0.023273340854375265,-0.3037914355885464,0.00971828726836283,900,24,8,1,0.6,0.85
10,-0.5024618445159914,0.02425355950415384,-0.28453705242344723,0.009225125620498636,700,24,8,1,0.6,
11,-0.5085774253731343,0.02473183888283162,-0.18600995024875622,0.00551737935930012,500,,2,1,0.8,
12,-0.5270562366737739,0.023310140796127997,-0.22437078002842925,0.0056709192250077286,700,,2,1,sqrt,0.85
13,-0.5411792768681474,0.02051519874719928,-0.4386572292175551,0.00837460115858701,900,16,4,4,sqrt,
14,-0.5522107861288431,0.022646348258628973,-0.39449786538141957,0.0062790439548385665,300,16,4,2,log2,
15,-0.5655357632040854,0.02274038257691372,-0.4916905835721013,0.00929951605081378,900,16,2,4,log2,0.7
16,-0.5956606181249439,0.025939630912014164,-0.5455896543042021,0.008102731896611724,300,8,2,4,log2,
