feature_en,feature,importance
surgery_day_rest_pain,手术当天_静息痛,0.2433417386749901
surgery_day_movement_pain,手术当天_活动痛,0.1445901968302815
age,年龄,0.0792977188213733
weight,体重,0.0632374228765978
surgery_month,手术月份,0.0444540510911475
surgery_weekday,手术星期,0.0395207240428722
anesthesia_method_combined_spinal_epidural,麻醉方法_oh_腰硬联合,0.0279110664827461
surgery_day_activity_status,手术当天_活动状态,0.0272149486834043
basal_dose,背景量,0.0229830928175867
surgery_day_sedation_score,手术当天_镇静评分,0.0205086153439711
pump_formula_tramadol_mg,镇痛泵配方_曲马多_mg,0.0191828182482293
asagrade_num,ASA分级_num,0.0173058931784079
total_amount,总量,0.0168998831991114
year,年份,0.0156708185315249
pump_formula_nalbuphine_mg,镇痛泵配方_纳布啡_mg,0.0147484694153406
block_analgesic_drug_ropivacaine_dose,阻滞镇痛用药_罗哌卡因_dose,0.0146312437267001
pump_formula_sufentanil_mg,镇痛泵配方_舒芬_mg,0.0141575103221897
block_analgesic_drug_total_amount,阻滞镇痛用药_总量,0.012394334416763
surgery_type_orthopedics_upper_limb,手术类型_骨科-上肢,0.0104646271255736
block_analgesic_drug_total_volume_ml,阻滞镇痛用药_总体积_ml,0.0102440133592333
