rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,param_model__n_estimators,param_model__max_depth,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_samples
1,-0.49578323820582254,0.0386681984316054,-0.38773690046803133,0.019157480450440172,500,8,4,2,0.6,0.85
2,-0.49667921547326466,0.03885188977272282,-0.2935037395051996,0.015233880584165357,500,12,2,1,0.4,0.85
3,-0.49961669688938487,0.04179265821908751,-0.18688383939821737,0.008293038250504692,500,,2,1,0.8,
4,-0.49994522901264804,0.03731917017368107,-0.34782513225724254,0.015280732666703144,900,12,4,2,0.4,0.7
5,-0.5007101134942947,0.04010869198534511,-0.2898218382637921,0.012934422150824658,700,24,8,1,0.6,
6,-0.5007546544825927,0.04136611191449223,-0.3739381595870601,0.017423734185417403,300,,12,2,0.8,0.7
7,-0.5011494952802876,0.03670660816347272,-0.3171597270040728,0.012544891162130216,700,,2,2,0.4,0.7
8,-0.5015045949275454,0.03966278506922796,-0.3087785958841995,0.014079214720080821,900,24,8,1,0.6,0.85
9,-0.5089496909297825,0.041666351953335845,-0.4128467341323053,0.01687415312058602,300,16,12,6,0.8,0.7
10,-0.5109875796815827,0.036945753553955386,-0.4174947339511961,0.016461597713142827,300,16,4,6,0.4,0.85
11,-0.511659604081648,0.03744789666840859,-0.42873705754277047,0.015768110712971992,500,16,8,6,0.4,0.7
12,-0.5313779641512065,0.03019668080847361,-0.22704123934841747,0.00878370063639098,700,,2,1,sqrt,0.85
13,-0.5499355923864468,0.027867906297872006,-0.4430177991093688,0.015496215130025104,900,16,4,4,sqrt,
14,-0.5606656723106791,0.028949204021911052,-0.39848735040703487,0.012472759854342543,300,16,4,2,log2,
15,-0.5744202641977749,0.02475016695842775,-0.49650842945282697,0.015507424561440587,900,16,2,4,log2,0.7
16,-0.6060742639650426,0.025052480595300713,-0.5489744155406513,0.016460018803133556,300,8,2,4,log2,
