feature,importance
手术当天_静息痛,0.17497249620650604
手术当天_活动痛,0.11690507200218184
年龄,0.08675300125640713
体重,0.07245583704616833
手术月份,0.048441443951036105
手术星期,0.04705351805454327
麻醉方法_oh_腰硬联合,0.043739412119371095
手术当天_活动状态,0.03513755060030747
ASA分级_num,0.026628566802214128
背景量,0.022179304415716677
手术当天_镇静评分,0.022079471262494405
镇痛泵配方_曲马多_mg,0.020334696952825606
阻滞镇痛用药_罗哌卡因_dose,0.018904704668408396
镇痛泵配方_舒芬_mg,0.018342973645659295
年份,0.01784403306837774
总量,0.017183378910803633
镇痛方式_oh_PCNA,0.01439629881741985
镇痛泵配方_纳布啡_mg,0.012446732462428762
镇痛泵配方_羟考酮_mg,0.012280505826562241
阻滞镇痛用药_总体积_ml,0.011902010683952417
手术类型_骨科-下肢,0.011251913482627596
阻滞镇痛用药_总量,0.010929506726377236
性别_num,0.010130787689588054
手术当天_恶心呕吐,0.01010520323256728
阻滞镇痛部位_胸壁平面阻滞,0.009951779037164626
手术类型_骨科-上肢,0.00980484170321902
手术类型_腹外科-上腹,0.009633356505658797
镇痛泵配方_has_舒芬,0.008887947337673466
镇痛泵配方_has_纳布啡,0.007589667185415809
镇痛泵配方_帕洛诺司琼_mg,0.007291479370847239
麻醉方法_oh_插管全麻,0.006463266334080752
阻滞镇痛部位_下肢外周神经阻滞,0.006382366374712597
麻醉方法_oh_腰麻,0.005261857630212253
镇痛泵配方_has_帕洛诺司琼,0.004610512854481103
阻滞镇痛部位_未记录/未实施,0.00410253947490691
镇痛泵配方_has_羟考酮,0.003784305179392039
镇痛方式_oh_PCIA,0.003682396580486213
麻醉方法_oh_神经阻滞,0.0036659553765401565
镇痛泵配方_has_曲马多,0.003508015690040653
手术类型_其他,0.0032649419279521153
阻滞镇痛用药_has_罗哌卡因,0.00314761106919438
手术类型_腹外科-下腹,0.0025077123702013588
手术类型_产科,0.002100565598819999
手术类型_妇科,0.0020662058276972642
阻滞镇痛部位_腹壁平面阻滞,0.0018532951715051927
镇痛方式_oh_PCEA,0.0012465393655690874
手术类型_骨科-脊柱,0.001202906401612015
麻醉方法_oh_硬膜外,0.0010346688255957691
镇痛泵配方_布托啡诺_mg,0.0009102940295537203
阻滞镇痛用药_布比卡因脂质体_dose,0.0007870729313247446
镇痛泵配方_has_布托啡诺,0.000768924530535745
手术类型_骨科-其他,0.0007554796613737817
阻滞镇痛用药_has_布比卡因脂质体,0.0007033168490169855
手术类型_腹外科-其他,0.00033465552925548005
阻滞镇痛部位_上肢/颈丛神经阻滞,0.00018682788923418315
镇痛泵配方_has_地佐辛,5.526818621032195e-05
阻滞镇痛用药_布比卡因_dose,2.342506098345336e-05
阻滞镇痛部位_椎旁阻滞,1.0060500062851787e-05
阻滞镇痛用药_has_布比卡因,9.335529363931936e-06
麻醉方法_oh_其他,7.349204836774432e-06
镇痛方式_oh_PICA,3.2147855796157947e-06
镇痛泵配方_地佐辛_mg,1.6222351449415344e-06
阻滞镇痛部位_其他,0.0
阻滞镇痛部位_其他外周神经阻滞,0.0
