feature_en,feature,importance
surgery_day_rest_pain,手术当天_静息痛,0.174972496206506
surgery_day_movement_pain,手术当天_活动痛,0.1169050720021818
age,年龄,0.0867530012564071
weight,体重,0.0724558370461683
surgery_month,手术月份,0.0484414439510361
surgery_weekday,手术星期,0.0470535180545432
anesthesia_method_combined_spinal_epidural,麻醉方法_oh_腰硬联合,0.043739412119371
surgery_day_activity_status,手术当天_活动状态,0.0351375506003074
asagrade_num,ASA分级_num,0.0266285668022141
basal_dose,背景量,0.0221793044157166
surgery_day_sedation_score,手术当天_镇静评分,0.0220794712624944
pump_formula_tramadol_mg,镇痛泵配方_曲马多_mg,0.0203346969528256
block_analgesic_drug_ropivacaine_dose,阻滞镇痛用药_罗哌卡因_dose,0.0189047046684083
pump_formula_sufentanil_mg,镇痛泵配方_舒芬_mg,0.0183429736456592
year,年份,0.0178440330683777
total_amount,总量,0.0171833789108036
analgesia_mode_pcna,镇痛方式_oh_PCNA,0.0143962988174198
pump_formula_nalbuphine_mg,镇痛泵配方_纳布啡_mg,0.0124467324624287
pump_formula_oxycodone_mg,镇痛泵配方_羟考酮_mg,0.0122805058265622
block_analgesic_drug_total_volume_ml,阻滞镇痛用药_总体积_ml,0.0119020106839524
