feature,importance
手术当天_静息痛,0.5479891214800298
手术当天_活动痛,0.09002702135513083
年龄,0.060716067407611096
手术月份,0.04019043771522903
麻醉方法_oh_插管全麻,0.036439546099731115
体重,0.035692540516824765
手术星期,0.014339360933031547
镇痛泵配方_舒芬_mg,0.013306886829701815
阻滞镇痛用药_罗哌卡因_dose,0.01316670485707491
手术当天_镇静评分,0.013044031301800587
阻滞镇痛用药_总量,0.012258899451818052
镇痛泵配方_曲马多_mg,0.011792537746306432
背景量,0.009361566915554726
手术当天_活动状态,0.008176308183563697
ASA分级_num,0.006950034780008105
年份,0.006336557929215772
总量,0.0061793840403425795
阻滞镇痛用药_总体积_ml,0.005984530953345513
镇痛泵配方_羟考酮_mg,0.005059918835613701
镇痛泵配方_纳布啡_mg,0.004978593203149113
手术类型_骨科-上肢,0.004728920980986131
麻醉方法_oh_腰麻,0.0042501227459768465
麻醉方法_oh_腰硬联合,0.004175274806622468
阻滞镇痛用药_布比卡因脂质体_dose,0.004044486216205454
阻滞镇痛用药_布比卡因_dose,0.003822581654478169
手术当天_恶心呕吐,0.0034706089613343537
镇痛泵配方_帕洛诺司琼_mg,0.0031514330313156457
镇痛泵配方_has_曲马多,0.0030989560317834816
性别_num,0.002963691764014094
手术类型_骨科-下肢,0.0024084226218480053
阻滞镇痛部位_未记录/未实施,0.001638012810786538
镇痛泵配方_has_纳布啡,0.0014638030577535269
手术类型_产科,0.0014368525029454867
手术类型_腹外科-上腹,0.0014117841181529884
麻醉方法_oh_神经阻滞,0.0011183408030825672
手术类型_妇科,0.0011153905584303306
手术类型_其他,0.0010506492173872144
镇痛方式_oh_PCNA,0.001024278727968788
阻滞镇痛部位_腹壁平面阻滞,0.0009893526670146327
阻滞镇痛部位_下肢外周神经阻滞,0.000980396104569368
手术类型_骨科-脊柱,0.0009774285427141273
镇痛泵配方_has_羟考酮,0.0009535685783146682
手术类型_腹外科-下腹,0.0009386338562713584
镇痛泵配方_布托啡诺_mg,0.0008803500456122541
镇痛方式_oh_PCIA,0.0008400562509685996
镇痛泵配方_has_帕洛诺司琼,0.0008336837567981629
阻滞镇痛用药_has_罗哌卡因,0.0007459034186020814
手术类型_腹外科-其他,0.0006293042748917386
镇痛方式_oh_PCEA,0.0006283318649212315
镇痛泵配方_has_舒芬,0.0006137566511500319
镇痛泵配方_has_布托啡诺,0.0005817242573558461
阻滞镇痛部位_胸壁平面阻滞,0.0003164754217047114
阻滞镇痛部位_上肢/颈丛神经阻滞,0.0002915726384800453
手术类型_骨科-其他,0.00013821174990410649
阻滞镇痛用药_has_布比卡因脂质体,9.628981495690913e-05
麻醉方法_oh_硬膜外,9.369544411044733e-05
镇痛泵配方_地佐辛_mg,2.9632292555710563e-05
阻滞镇痛用药_has_布比卡因,2.6024673844571017e-05
镇痛泵配方_has_地佐辛,2.39150621953247e-05
阻滞镇痛部位_椎旁阻滞,1.3078780486495209e-05
镇痛方式_oh_PICA,9.697223554797552e-06
麻醉方法_oh_其他,5.255482867497802e-06
阻滞镇痛部位_其他,0.0
阻滞镇痛部位_其他外周神经阻滞,0.0
