rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,param_model__n_estimators,param_model__max_depth,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_samples
1,-0.4084698159776705,0.01355848398695318,-0.3013848115737196,0.0034360541384864736,300,,12,2,0.8,0.7
2,-0.4086754460297901,0.012666098782704208,-0.3322226601623305,0.00345735839524631,300,16,12,6,0.8,0.7
3,-0.4107372442063566,0.012388651631931407,-0.23116803697230337,0.00272762757812663,700,24,8,1,0.6,
4,-0.41083196109745357,0.012620524100094628,-0.247510668049112,0.0027403921402603193,900,24,8,1,0.6,0.85
5,-0.41108891783552454,0.013071397672964103,-0.2597025047616596,0.0034269057923513296,700,,2,2,0.4,0.7
6,-0.4117301585109816,0.012856300013786529,-0.2912558711533598,0.00327042411886938,900,12,4,2,0.4,0.7
7,-0.41249101236578445,0.013041796675383776,-0.3389434991680959,0.004052389251371462,300,16,4,6,0.4,0.85
8,-0.41294137240729556,0.014107708551559106,-0.2541871562815978,0.0026072019266203178,500,12,2,1,0.4,0.85
9,-0.4137649410510472,0.011980566974996294,-0.15227889825907456,0.0015590364478440463,500,,2,1,0.8,
10,-0.4142412549933325,0.01278248962948333,-0.34890077025620075,0.004020476589587883,500,16,8,6,0.4,0.7
11,-0.41543283643454887,0.013054491055250183,-0.3428989277130059,0.0037808884711757534,500,8,4,2,0.6,0.85
12,-0.43356433773758263,0.012256739668940033,-0.1859009494467592,0.0019638840077682465,700,,2,1,sqrt,0.85
13,-0.45175025137704156,0.011167524726749131,-0.37561206050238743,0.003684397131256465,900,16,4,4,sqrt,
14,-0.4609267875815932,0.009411675479682078,-0.34715041843345096,0.0041651722108235366,300,16,4,2,log2,
15,-0.477686380707034,0.009763041118906864,-0.42397564751532646,0.003275230301578877,900,16,2,4,log2,0.7
16,-0.5209686874564922,0.007545650983892883,-0.49007114763654813,0.004399660584714368,300,8,2,4,log2,
