feature_en,feature,importance
surgery_day_rest_pain,手术当天_静息痛,0.19888277
surgery_day_movement_pain,手术当天_活动痛,0.1024479
block_analgesic_drug_liposomal_bupivacaine_dose,阻滞镇痛用药_布比卡因脂质体_dose,0.04123586
surgery_type_obstetrics,手术类型_产科,0.026021322
asagrade_num,ASA分级_num,0.024109686
surgery_day_activity_status,手术当天_活动状态,0.01977456
analgesia_mode_pcna,镇痛方式_oh_PCNA,0.019189708
block_site_lower_limb_peripheral_nerve_block,阻滞镇痛部位_下肢外周神经阻滞,0.019045202
block_site_upper_limb_or_cervical_plexus_block,阻滞镇痛部位_上肢/颈丛神经阻滞,0.0187224
surgery_day_sedation_score,手术当天_镇静评分,0.018656012
anesthesia_method_general_anesthesia_intubation,麻醉方法_oh_插管全麻,0.018452257
anesthesia_method_spinal_anesthesia,麻醉方法_oh_腰麻,0.018378144
pump_formula_contains_sufentanil,镇痛泵配方_has_舒芬,0.018132288
year,年份,0.01764119
block_analgesic_drug_total_amount,阻滞镇痛用药_总量,0.016044466
pump_formula_contains_palonosetron,镇痛泵配方_has_帕洛诺司琼,0.014985892
basal_dose,背景量,0.0148214735
anesthesia_method_combined_spinal_epidural,麻醉方法_oh_腰硬联合,0.014756443
pump_formula_contains_nalbuphine,镇痛泵配方_has_纳布啡,0.014599217
block_site_not_recorded_or_not_performed,阻滞镇痛部位_未记录/未实施,0.014100984
