feature,importance
手术当天_静息痛,0.11123941
手术当天_活动痛,0.0694863
阻滞镇痛用药_布比卡因_dose,0.044110134
镇痛泵配方_纳布啡_mg,0.03748188
阻滞镇痛用药_has_布比卡因,0.03512355
阻滞镇痛用药_has_布比卡因脂质体,0.031139074
镇痛泵配方_舒芬_mg,0.029810872
阻滞镇痛用药_布比卡因脂质体_dose,0.024691433
手术当天_镇静评分,0.023734039
镇痛泵配方_帕洛诺司琼_mg,0.023503968
麻醉方法_oh_腰硬联合,0.018887935
镇痛泵配方_has_纳布啡,0.017307747
手术类型_妇科,0.01698259
镇痛方式_oh_PCEA,0.016681038
镇痛泵配方_羟考酮_mg,0.01625726
阻滞镇痛用药_总量,0.015823554
总量,0.015818296
手术类型_产科,0.015261005
阻滞镇痛用药_has_罗哌卡因,0.014980034
阻滞镇痛用药_罗哌卡因_dose,0.014970508
手术当天_活动状态,0.014781121
镇痛泵配方_has_帕洛诺司琼,0.014560682
镇痛泵配方_布托啡诺_mg,0.01447207
镇痛方式_oh_PCNA,0.014267588
镇痛泵配方_has_羟考酮,0.014147258
阻滞镇痛部位_未记录/未实施,0.0141398
背景量,0.013768215
麻醉方法_oh_插管全麻,0.013657679
年龄,0.013525532
年份,0.0129023595
镇痛泵配方_has_舒芬,0.012730077
体重,0.012307681
镇痛泵配方_曲马多_mg,0.012112842
麻醉方法_oh_腰麻,0.011995781
阻滞镇痛用药_总体积_ml,0.011665214
镇痛方式_oh_PCIA,0.011537917
手术月份,0.011488289
手术类型_骨科-脊柱,0.011271337
阻滞镇痛部位_椎旁阻滞,0.010720728
手术当天_恶心呕吐,0.010587231
手术类型_其他,0.010578151
手术类型_骨科-其他,0.0104065165
阻滞镇痛部位_下肢外周神经阻滞,0.0104054455
手术类型_骨科-下肢,0.009960682
镇痛泵配方_has_曲马多,0.009360412
手术类型_骨科-上肢,0.0093603935
镇痛泵配方_has_地佐辛,0.008640645
手术星期,0.008571225
手术类型_腹外科-上腹,0.008254408
麻醉方法_oh_神经阻滞,0.008036554
镇痛泵配方_has_布托啡诺,0.007848862
阻滞镇痛部位_腹壁平面阻滞,0.0073688794
ASA分级_num,0.0073028007
手术类型_腹外科-下腹,0.0072060595
手术类型_腹外科-其他,0.0071076294
性别_num,0.0056801597
镇痛泵配方_地佐辛_mg,0.0047420044
麻醉方法_oh_其他,0.004381852
阻滞镇痛部位_上肢/颈丛神经阻滞,0.004210473
麻醉方法_oh_硬膜外,0.0006467658
阻滞镇痛部位_其他,0.0
阻滞镇痛部位_其他外周神经阻滞,0.0
阻滞镇痛部位_胸壁平面阻滞,0.0
镇痛方式_oh_PICA,0.0
