rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,param_model__n_estimators,param_model__max_depth,param_model__learning_rate,param_model__subsample,param_model__colsample_bytree,param_model__min_child_weight,param_model__reg_alpha,param_model__reg_lambda
1,-0.7198835749768363,0.011097116388316255,-0.563067416685042,0.006397908224506135,500,4,0.03,1.0,0.6,1,1.0,2.0
2,-0.7207790315220324,0.00820267318939661,-0.5950508135669724,0.005766347407608379,300,4,0.03,0.8,0.6,1,0.0,0.5
3,-0.7243539919757148,0.008125060594718283,-0.3231437698968752,0.004443501105659797,300,8,0.03,0.6,1.0,7,0.5,0.5
4,-0.7265788624190124,0.011077601117842215,-0.44680214815408364,0.0026269294343190318,500,4,0.05,0.8,1.0,3,1.0,0.5
5,-0.727211875552995,0.013742610906772784,-0.2628217878851292,0.0093299763492909,900,6,0.03,1.0,0.6,1,0.0,1.0
6,-0.7280171373165014,0.01059721070720769,-0.5755241712402206,0.0027051995224771697,500,3,0.05,0.6,0.8,7,1.0,1.0
7,-0.728625687901479,0.01120989646055562,-0.5729849493635435,0.0033272229125297223,500,3,0.05,0.6,0.8,5,0.0,1.0
8,-0.7356366148832646,0.012553481541416932,-0.16468155762635428,0.0025109387972805596,700,8,0.03,0.6,0.6,1,0.5,5.0
9,-0.73738844381255,0.012041724428196662,-0.4721867029313865,0.0016510534603172598,700,3,0.08,0.8,0.6,1,0.5,0.5
10,-0.7399941146418522,0.008756377965129493,-0.5227457307115526,0.002737862788487445,500,3,0.08,0.6,0.6,3,0.1,0.5
11,-0.7426798502888804,0.009363796477121739,-0.49855243914501385,0.0027745665019392974,500,3,0.1,1.0,0.8,5,0.5,0.5
12,-0.7430611046714578,0.012721098119924546,-0.2158954108638709,0.0056689432958561495,700,6,0.05,0.8,0.6,7,0.5,2.0
13,-0.7432937135086759,0.009950760168946833,-0.3907961809632118,0.004371492088993845,900,4,0.05,1.0,0.8,7,0.0,0.5
14,-0.7470148163581264,0.0087659473434287,-0.20172751994591792,0.004875020825346785,700,6,0.05,0.6,0.8,7,0.0,0.5
15,-0.7548486287058174,0.017687218598020523,-0.2972115352331579,0.004802225498951298,900,4,0.08,1.0,0.8,5,1.0,1.0
16,-0.7651417385257776,0.01078458179452384,-0.04557585878778024,0.003258948552423814,900,6,0.1,0.8,0.6,5,0.0,1.0
