feature,importance
手术当天_静息痛,0.17557946
手术当天_活动痛,0.09150977
阻滞镇痛用药_has_布比卡因脂质体,0.04951557
阻滞镇痛用药_布比卡因脂质体_dose,0.028475592
手术当天_镇静评分,0.026900921
手术类型_产科,0.024679288
麻醉方法_oh_腰硬联合,0.022945162
镇痛泵配方_has_舒芬,0.0228654
手术当天_活动状态,0.020787561
麻醉方法_oh_硬膜外,0.01667655
年份,0.015917987
阻滞镇痛部位_未记录/未实施,0.015485467
镇痛方式_oh_PCNA,0.015160218
阻滞镇痛部位_胸壁平面阻滞,0.015008977
镇痛泵配方_帕洛诺司琼_mg,0.014525845
镇痛泵配方_has_帕洛诺司琼,0.014014611
麻醉方法_oh_腰麻,0.0137014
手术类型_骨科-上肢,0.013660428
阻滞镇痛用药_总量,0.013636998
镇痛泵配方_布托啡诺_mg,0.013423422
镇痛泵配方_has_纳布啡,0.013265173
年龄,0.013083394
阻滞镇痛用药_has_罗哌卡因,0.012997896
手术类型_其他,0.012891447
镇痛方式_oh_PCEA,0.012613687
镇痛泵配方_舒芬_mg,0.012510805
阻滞镇痛部位_下肢外周神经阻滞,0.012313877
阻滞镇痛用药_罗哌卡因_dose,0.01199266
手术月份,0.011621823
背景量,0.011350578
阻滞镇痛用药_总体积_ml,0.011339075
镇痛方式_oh_PCIA,0.011119896
手术星期,0.010926457
镇痛泵配方_曲马多_mg,0.010845515
手术类型_腹外科-下腹,0.010652004
手术当天_恶心呕吐,0.0104934955
总量,0.010412853
镇痛泵配方_has_曲马多,0.01038104
体重,0.010252879
镇痛泵配方_纳布啡_mg,0.01013561
镇痛泵配方_羟考酮_mg,0.009785878
手术类型_骨科-下肢,0.0096995905
麻醉方法_oh_神经阻滞,0.009470399
ASA分级_num,0.009239529
手术类型_骨科-脊柱,0.009161708
阻滞镇痛部位_腹壁平面阻滞,0.00910781
手术类型_妇科,0.00901116
麻醉方法_oh_插管全麻,0.008688867
手术类型_腹外科-其他,0.007703769
镇痛泵配方_has_布托啡诺,0.0075295856
性别_num,0.0073051113
手术类型_腹外科-上腹,0.0072123297
手术类型_骨科-其他,0.0071825054
镇痛泵配方_has_地佐辛,0.006763282
镇痛泵配方_has_羟考酮,0.006244
阻滞镇痛部位_上肢/颈丛神经阻滞,0.00518311
麻醉方法_oh_其他,0.0049842433
镇痛泵配方_地佐辛_mg,0.0043256273
阻滞镇痛部位_椎旁阻滞,0.0029584016
阻滞镇痛用药_has_布比卡因,0.002772338
阻滞镇痛部位_其他,0.0
阻滞镇痛部位_其他外周神经阻滞,0.0
镇痛方式_oh_PICA,0.0
阻滞镇痛用药_布比卡因_dose,0.0
