rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,param_model__n_estimators,param_model__max_depth,param_model__learning_rate,param_model__subsample,param_model__colsample_bytree,param_model__min_child_weight,param_model__reg_alpha,param_model__reg_lambda
1,-0.5020925090830063,0.03328822957396861,-0.38361311685839705,0.015329232703427408,300,4,0.03,0.8,0.6,1,0.0,0.5
2,-0.5121130273947049,0.03635515130999718,-0.3611521249400479,0.014478408522436146,500,4,0.03,1.0,0.6,1,1.0,2.0
3,-0.513983004031102,0.036034319227203994,-0.3826312156142103,0.013907001591006685,500,3,0.05,0.6,0.8,5,0.0,1.0
4,-0.5158000850096363,0.032424849843808085,-0.39101028583427533,0.01256552762066746,500,3,0.05,0.6,0.8,7,1.0,1.0
5,-0.5219721443792353,0.0383071012542115,-0.289973376466482,0.00889353840425756,500,4,0.05,0.8,1.0,3,1.0,0.5
6,-0.52404487702527,0.03706223858190565,-0.2462920326786416,0.005632500844647286,300,8,0.03,0.6,1.0,7,0.5,0.5
7,-0.5301844301259055,0.039524671660602174,-0.34350769359418,0.013773874041540245,500,3,0.08,0.6,0.6,3,0.1,0.5
8,-0.5310643848509942,0.03559373556781896,-0.15203838045068765,0.012254211453524962,900,6,0.03,1.0,0.6,1,0.0,1.0
9,-0.5327899266159432,0.032338003587413566,-0.1276542263508132,0.0036878651988914847,700,8,0.03,0.6,0.6,1,0.5,5.0
10,-0.5345803113187411,0.035248761591852536,-0.30452033449078963,0.009539476197699086,700,3,0.08,0.8,0.6,1,0.5,0.5
11,-0.5382600500463347,0.04207073929942837,-0.33061590165250165,0.013747849802569169,500,3,0.1,1.0,0.8,5,0.5,0.5
12,-0.5494048902782429,0.03767262517406219,-0.15682025703710673,0.0028337046457116,700,6,0.05,0.8,0.6,7,0.5,2.0
13,-0.5505351256098214,0.03815727544349702,-0.25835812642227224,0.007929105325738324,900,4,0.05,1.0,0.8,7,0.0,0.5
14,-0.5541237637375869,0.0415372922726773,-0.14537354866596308,0.004806884182858377,700,6,0.05,0.6,0.8,7,0.0,0.5
15,-0.5562962278754238,0.035584907722374465,-0.20683465782637978,0.007402425821421542,900,4,0.08,1.0,0.8,5,1.0,1.0
16,-0.5671195998631834,0.036087986846022324,-0.02254558097828471,0.001131414896802429,900,6,0.1,0.8,0.6,5,0.0,1.0
