feature,importance
手术当天_静息痛,0.28393546
麻醉方法_oh_插管全麻,0.03157336
手术当天_活动状态,0.025135105
手术当天_活动痛,0.023696665
手术当天_镇静评分,0.023642676
麻醉方法_oh_腰硬联合,0.017154153
麻醉方法_oh_腰麻,0.016307771
镇痛泵配方_has_舒芬,0.01558204
镇痛泵配方_羟考酮_mg,0.015180291
手术类型_骨科-上肢,0.014993425
手术月份,0.014631732
手术类型_妇科,0.014594899
阻滞镇痛用药_has_罗哌卡因,0.014590157
镇痛泵配方_has_帕洛诺司琼,0.014544498
镇痛泵配方_纳布啡_mg,0.014529111
阻滞镇痛部位_未记录/未实施,0.01451064
手术类型_腹外科-上腹,0.014060433
镇痛方式_oh_PCNA,0.014031347
镇痛泵配方_帕洛诺司琼_mg,0.013847079
手术类型_腹外科-其他,0.013599743
镇痛泵配方_has_纳布啡,0.013275098
年龄,0.012955279
阻滞镇痛部位_下肢外周神经阻滞,0.012867504
年份,0.012514575
ASA分级_num,0.012385475
镇痛泵配方_has_羟考酮,0.012368174
手术类型_产科,0.012072519
镇痛泵配方_has_曲马多,0.012054726
手术类型_骨科-脊柱,0.011859015
镇痛泵配方_曲马多_mg,0.011744398
阻滞镇痛用药_has_布比卡因脂质体,0.011728267
总量,0.011572135
阻滞镇痛用药_布比卡因_dose,0.011539189
手术类型_其他,0.011528184
背景量,0.011434377
手术类型_腹外科-下腹,0.011240212
阻滞镇痛用药_总量,0.011235388
手术当天_恶心呕吐,0.0110978
阻滞镇痛用药_总体积_ml,0.011090171
性别_num,0.010846998
镇痛方式_oh_PCEA,0.010764262
阻滞镇痛部位_腹壁平面阻滞,0.010550197
阻滞镇痛用药_罗哌卡因_dose,0.010351987
手术星期,0.010121919
麻醉方法_oh_神经阻滞,0.009974458
阻滞镇痛用药_布比卡因脂质体_dose,0.009921775
体重,0.009867741
镇痛泵配方_布托啡诺_mg,0.009503444
镇痛泵配方_舒芬_mg,0.0092519205
手术类型_骨科-下肢,0.009183355
手术类型_骨科-其他,0.0088875545
镇痛方式_oh_PCIA,0.008726022
镇痛泵配方_has_布托啡诺,0.007860087
阻滞镇痛部位_胸壁平面阻滞,0.0068719783
阻滞镇痛部位_上肢/颈丛神经阻滞,0.005984978
镇痛泵配方_has_地佐辛,0.005931145
麻醉方法_oh_硬膜外,0.0046588248
麻醉方法_oh_其他,0.00403831
阻滞镇痛部位_椎旁阻滞,0.0
镇痛方式_oh_PICA,0.0
阻滞镇痛部位_其他,0.0
阻滞镇痛部位_其他外周神经阻滞,0.0
镇痛泵配方_地佐辛_mg,0.0
阻滞镇痛用药_has_布比卡因,0.0
