rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,param_model__n_estimators,param_model__max_depth,param_model__learning_rate,param_model__subsample,param_model__colsample_bytree,param_model__min_child_weight,param_model__reg_alpha,param_model__reg_lambda
1,-0.4172934087136278,0.01396664963976598,-0.24548230488738035,0.001785498434369466,300,8,0.03,0.6,1.0,7,0.5,0.5
2,-0.424705854288855,0.013493313975277796,-0.34823349919344176,0.0036968163271880604,500,4,0.03,1.0,0.6,1,1.0,2.0
3,-0.42501963830711165,0.01258054487111065,-0.36129356587876044,0.00427311309285783,300,4,0.03,0.8,0.6,1,0.0,0.5
4,-0.42645978375065685,0.011248150769681184,-0.30178887881451233,0.005028015448405602,500,4,0.05,0.8,1.0,3,1.0,0.5
5,-0.42723185867029934,0.014356414943412272,-0.3662614579066457,0.004314082111065029,500,3,0.05,0.6,0.8,7,1.0,1.0
6,-0.4289402171384006,0.011938818285535387,-0.36444729299796363,0.004819854927706684,500,3,0.05,0.6,0.8,5,0.0,1.0
7,-0.4300547180584684,0.012579992596932961,-0.15399365231077008,0.002684967558871815,700,8,0.03,0.6,0.6,1,0.5,5.0
8,-0.4313918123020619,0.01292848854165672,-0.18729628889642944,0.006981456141840041,900,6,0.03,1.0,0.6,1,0.0,1.0
9,-0.43710297217831406,0.011995300346887066,-0.3296566030234279,0.0025644213794579476,500,3,0.1,1.0,0.8,5,0.5,0.5
10,-0.437387769432163,0.014700580405134273,-0.19231903223566088,0.003172881054535568,700,6,0.05,0.8,0.6,7,0.5,2.0
11,-0.43826645605353676,0.01379288569056172,-0.34345886834789074,0.0034957422731141455,500,3,0.08,0.6,0.6,3,0.1,0.5
12,-0.43997042470062964,0.00979609158160827,-0.31617723916174556,0.0038159739988527144,700,3,0.08,0.8,0.6,1,0.5,0.5
13,-0.44079792480984603,0.011419637395672396,-0.2754570632672199,0.00523740559436485,900,4,0.05,1.0,0.8,7,0.0,0.5
14,-0.4426625001687103,0.01323548244642987,-0.18478204753549135,0.002395398201879751,700,6,0.05,0.6,0.8,7,0.0,0.5
15,-0.4476300823541193,0.01217916481591876,-0.23436561283390978,0.0031638041640647467,900,4,0.08,1.0,0.8,5,1.0,1.0
16,-0.46679235463046426,0.00823884088666943,-0.05874031284650641,0.0005066801193107107,900,6,0.1,0.8,0.6,5,0.0,1.0
