column_cn,column_en,missing_count,missing_ratio
术后第三天_恶心呕吐,POD3 - Nausea/Vomiting,173,0.06433618445518781
术后第三天_镇静评分,POD3 - Sedation Score,171,0.06359241353663071
术后第三天_活动状态,POD3 - Activity Status,171,0.06359241353663071
术后第三天_活动痛,POD3 - Movement Pain,170,0.06322052807735218
术后第三天_静息痛,POD3 - Rest Pain,168,0.06247675715879509
术后第二天_活动痛,POD2 - Movement Pain,22,0.008181480104127928
术后第二天_活动状态,POD2 - Activity Status,22,0.008181480104127928
术后第二天_恶心呕吐,POD2 - Nausea/Vomiting,22,0.008181480104127928
术后第二天_镇静评分,POD2 - Sedation Score,21,0.007809594644849386
术后第二天_静息痛,POD2 - Rest Pain,20,0.007437709185570844
手术当天_活动状态,Surgery Day - Activity Status,17,0.006322052807735217
手术当天_活动痛,Surgery Day - Movement Pain,16,0.005950167348456675
手术当天_恶心呕吐,Surgery Day - Nausea/Vomiting,16,0.005950167348456675
手术当天_镇静评分,Surgery Day - Sedation Score,13,0.004834510970621049
手术当天_静息痛,Surgery Day - Rest Pain,12,0.004462625511342506
术后第一天_活动状态,POD1 - Activity Status,11,0.004090740052063964
术后第一天_活动痛,POD1 - Movement Pain,10,0.003718854592785422
术后第一天_恶心呕吐,POD1 - Nausea/Vomiting,9,0.00334696913350688
术后第一天_静息痛,POD1 - Rest Pain,8,0.0029750836742283376
术后第一天_镇静评分,POD1 - Sedation Score,8,0.0029750836742283376
