feature_en,feature,importance
surgery_day_rest_pain,手术当天_静息痛,0.2403087610837466
surgery_day_movement_pain,手术当天_活动痛,0.1966273295365669
age,年龄,0.0602283665473271
weight,体重,0.0483192112478982
surgery_month,手术月份,0.0442221770800002
surgery_weekday,手术星期,0.0335613146908398
basal_dose,背景量,0.0244598944924286
asagrade_num,ASA分级_num,0.0205314991986796
year,年份,0.0178039328711365
pump_formula_tramadol_mg,镇痛泵配方_曲马多_mg,0.0169530126211976
surgery_day_sedation_score,手术当天_镇静评分,0.0163778580490319
surgery_day_activity_status,手术当天_活动状态,0.0160340961581604
total_amount,总量,0.0147690287393147
block_analgesic_drug_total_amount,阻滞镇痛用药_总量,0.0143610020969865
pump_formula_sufentanil_mg,镇痛泵配方_舒芬_mg,0.0126422443953661
block_analgesic_drug_ropivacaine_dose,阻滞镇痛用药_罗哌卡因_dose,0.0124748846353302
anesthesia_method_combined_spinal_epidural,麻醉方法_oh_腰硬联合,0.011246116807021
pump_formula_nalbuphine_mg,镇痛泵配方_纳布啡_mg,0.0108174844845065
sex_num,性别_num,0.0107250739361971
surgery_day_nausea_vomiting,手术当天_恶心呕吐,0.0104550991536976
