rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,param_model__n_estimators,param_model__max_depth,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_samples
1,-0.42868457844772345,0.010123437648550317,-0.15655741381667979,0.0016977079842361545,500,,2,1,0.8,
2,-0.4423258564632519,0.01347777861206063,-0.1902265061746441,0.0027767761926403493,700,,2,1,sqrt,0.85
3,-0.4550086639428038,0.010266944431658443,-0.2547540518615602,0.0028504729402445118,700,24,8,1,0.6,
4,-0.46119573101479333,0.011037606395308533,-0.28821661319130365,0.0028951880785636707,700,,2,2,0.4,0.7
5,-0.46128858800655936,0.010346961049824145,-0.27584407408720063,0.002692955617454706,900,24,8,1,0.6,0.85
6,-0.461374877760199,0.011127618860570893,-0.2843736859095344,0.003036060258352159,500,12,2,1,0.4,0.85
7,-0.475663834108331,0.012393938584190863,-0.3346594665658531,0.0030812417960923953,900,12,4,2,0.4,0.7
8,-0.48599660253318455,0.012599556282431796,-0.35314805613011235,0.002981669651919467,300,,12,2,0.8,0.7
9,-0.5010024529806251,0.011855931956863764,-0.4021075757612653,0.004835364452222827,300,16,12,6,0.8,0.7
10,-0.5013577310666961,0.010693443871026264,-0.4035207693278142,0.004246974373038351,500,8,4,2,0.6,0.85
11,-0.5029680130810578,0.01409127602466382,-0.4074166546626716,0.003474932837667842,300,16,4,6,0.4,0.85
12,-0.5094013469247155,0.013452504235049,-0.4233553655043871,0.0035913993180668236,500,16,8,6,0.4,0.7
13,-0.5186545436181541,0.0188231492032681,-0.37591590602088254,0.00422197983452237,300,16,4,2,log2,
14,-0.5327918793398713,0.016927458001311093,-0.4323701698324863,0.004183824403692879,900,16,4,4,sqrt,
15,-0.5737864136604056,0.021484960783066404,-0.4996146661430826,0.004759499750690577,900,16,2,4,log2,0.7
16,-0.6233303571036451,0.025716755807738165,-0.5765599639180008,0.00666953328621931,300,8,2,4,log2,
