feature_en,feature,importance
surgery_day_rest_pain,手术当天_静息痛,0.4080873881983214
surgery_day_movement_pain,手术当天_活动痛,0.0945212848055953
weight,体重,0.0581094796896216
age,年龄,0.0567208733125582
surgery_weekday,手术星期,0.0352874506426686
surgery_month,手术月份,0.0323998221187894
asagrade_num,ASA分级_num,0.0286136071349294
surgery_day_activity_status,手术当天_活动状态,0.0197539954825106
pump_formula_tramadol_mg,镇痛泵配方_曲马多_mg,0.019224813343302
surgery_day_nausea_vomiting,手术当天_恶心呕吐,0.0167688347508357
basal_dose,背景量,0.0155513893225651
year,年份,0.0132032700230283
surgery_day_sedation_score,手术当天_镇静评分,0.0128261039266464
total_amount,总量,0.0122218279035118
block_analgesic_drug_ropivacaine_dose,阻滞镇痛用药_罗哌卡因_dose,0.0118477889995928
block_analgesic_drug_total_amount,阻滞镇痛用药_总量,0.0110176196540984
surgery_type_orthopedics_upper_limb,手术类型_骨科-上肢,0.0106420595847271
analgesia_mode_pcna,镇痛方式_oh_PCNA,0.0104921283849635
anesthesia_method_combined_spinal_epidural,麻醉方法_oh_腰硬联合,0.0099743890811428
pump_formula_oxycodone_mg,镇痛泵配方_羟考酮_mg,0.0092938165429218
