rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,param_model__n_estimators,param_model__max_depth,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_samples
1,-0.33260179255732236,0.014015130539541355,-0.12140977875960146,0.0021595753896536947,500,,2,1,0.8,
2,-0.3578184868992602,0.014541580068847555,-0.15180687455836459,0.001612295539052155,700,,2,1,sqrt,0.85
3,-0.3744926229200128,0.01479954203327659,-0.21266383767630162,0.0038357250651470517,700,24,8,1,0.6,
4,-0.3849268707140172,0.015131633412833112,-0.23361795583896552,0.004369433317197348,900,24,8,1,0.6,0.85
5,-0.38969107033181244,0.011586375025178968,-0.2409678232541508,0.003459570505608232,500,12,2,1,0.4,0.85
6,-0.39064775996785145,0.013499184639043193,-0.24429074378769197,0.0037297619748978697,700,,2,2,0.4,0.7
7,-0.4162654256768106,0.012569307494721856,-0.2936876558182635,0.0038730623069386898,900,12,4,2,0.4,0.7
8,-0.42862302284935194,0.016339310630255455,-0.31519161245928023,0.004799092861467355,300,,12,2,0.8,0.7
9,-0.4521168903924558,0.014360257317488669,-0.36708614186454047,0.005237814305344281,300,16,12,6,0.8,0.7
10,-0.4547122288501583,0.012040103096235951,-0.3721901071368526,0.0058510858926817825,300,16,4,6,0.4,0.85
11,-0.4557962600525259,0.014784658293671989,-0.36864479510128395,0.003121905087479133,500,8,4,2,0.6,0.85
12,-0.46103913627301985,0.016307418080429764,-0.33352236888618136,0.002219975123780773,300,16,4,2,log2,
13,-0.46557121154629905,0.012510986926606887,-0.39011712504758694,0.006363960612704435,500,16,8,6,0.4,0.7
14,-0.4897700124646609,0.014280431923359626,-0.3973657751451768,0.0048536592657764275,900,16,4,4,sqrt,
15,-0.5372594133574253,0.015088021026042764,-0.4656933758791614,0.005803342217538059,900,16,2,4,log2,0.7
16,-0.5898210631317,0.014904031783976689,-0.5442706975297746,0.006119740720016907,300,8,2,4,log2,
