feature_en,feature,importance
surgery_day_rest_pain,手术当天_静息痛,0.5128771503765085
surgery_day_movement_pain,手术当天_活动痛,0.1754171182895426
age,年龄,0.04213442122871
weight,体重,0.0297123569139194
surgery_month,手术月份,0.0201346893369827
surgery_weekday,手术星期,0.017923881600544
surgery_day_activity_status,手术当天_活动状态,0.0169469903801668
surgery_day_sedation_score,手术当天_镇静评分,0.016038295298469
basal_dose,背景量,0.0130812697635886
asagrade_num,ASA分级_num,0.0120351680031826
year,年份,0.0097098541829342
pump_formula_tramadol_mg,镇痛泵配方_曲马多_mg,0.0089920526497977
block_analgesic_drug_ropivacaine_dose,阻滞镇痛用药_罗哌卡因_dose,0.0088244980208777
anesthesia_method_combined_spinal_epidural,麻醉方法_oh_腰硬联合,0.0087847617079579
block_analgesic_drug_total_amount,阻滞镇痛用药_总量,0.0082215707425354
pump_formula_nalbuphine_mg,镇痛泵配方_纳布啡_mg,0.0074713458048009
total_amount,总量,0.0069231121817921
block_analgesic_drug_total_volume_ml,阻滞镇痛用药_总体积_ml,0.0068447808933388
surgery_type_orthopedics_upper_limb,手术类型_骨科-上肢,0.0065721417753335
pump_formula_sufentanil_mg,镇痛泵配方_舒芬_mg,0.0049691575918423
