rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,param_model__n_estimators,param_model__max_depth,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_samples
1,-0.49783823905938235,0.015762179454525033,-0.38154114521444843,0.00392523683839432,500,8,4,2,0.6,0.85
2,-0.499739306459751,0.016154459024723577,-0.404483252055402,0.00437085721441366,300,16,12,6,0.8,0.7
3,-0.5006671776370316,0.015370601646993654,-0.370129170920779,0.0037061665238800195,300,,12,2,0.8,0.7
4,-0.5016013390859103,0.0137323292422303,-0.34224199732081667,0.003567900542721037,900,12,4,2,0.4,0.7
5,-0.5030051553946004,0.013230047667092364,-0.31625268744235274,0.00330736953327038,700,,2,2,0.4,0.7
6,-0.5030719027121868,0.0130954143709767,-0.4107622525071865,0.0038630201725313464,300,16,4,6,0.4,0.85
7,-0.5033668292564518,0.015390882493398556,-0.2889654311771119,0.0036246642523371335,500,12,2,1,0.4,0.85
8,-0.5041291212235495,0.01317100219895423,-0.4225773428140438,0.004473714524702585,500,16,8,6,0.4,0.7
9,-0.5044795397788056,0.014496310584417176,-0.304787785573272,0.0034621287382696534,900,24,8,1,0.6,0.85
10,-0.5056910664083387,0.016270921616112505,-0.28560201304060895,0.0029065523327710045,700,24,8,1,0.6,
11,-0.5119849647789092,0.019768980493881896,-0.1886263140195104,0.0012330277325344446,500,,2,1,0.8,
12,-0.5297335539425702,0.010680693203961797,-0.2264448941895996,0.002579312772214412,700,,2,1,sqrt,0.85
13,-0.543795603914377,0.008068963791772004,-0.44098625171962225,0.0028879775360444292,900,16,4,4,sqrt,
14,-0.5543094189606113,0.007734629172478231,-0.3958075386660855,0.002760691759723978,300,16,4,2,log2,
15,-0.5704238753102167,0.007274421895185253,-0.4947679914926658,0.00289580269510232,900,16,2,4,log2,0.7
16,-0.6000429658558293,0.0077019590122743955,-0.5474286144957816,0.0018013828511699152,300,8,2,4,log2,
