value,count,ratio
200.0,1546,0.5749349200446262
0.0,461,0.17143919672740796
250.0,283,0.10524358497582745
120.0,159,0.05912978802528821
150.0,110,0.040907400520639646
100.0,75,0.027891409445890667
3.0,18,0.00669393826701376
240.0,10,0.003718854592785422
210.0,5,0.001859427296392711
110.0,5,0.001859427296392711
160.0,4,0.0014875418371141688
220.0,4,0.0014875418371141688
130.0,4,0.0014875418371141688
4.0,2,0.0007437709185570844
140.0,1,0.0003718854592785422
170.0,1,0.0003718854592785422
2.5,1,0.0003718854592785422
