value,count,ratio
0.0,2017,0.7500929713648197
20.0,297,0.11044998140572704
30.0,208,0.07735217552993678
40.0,89,0.033097805875790254
25.0,23,0.008553365563406471
60.0,17,0.006322052807735217
15.0,11,0.004090740052063964
10.0,5,0.001859427296392711
35.0,5,0.001859427296392711
50.0,5,0.001859427296392711
250.0,3,0.0011156563778356265
31.0,2,0.0007437709185570844
65.0,1,0.0003718854592785422
70.0,1,0.0003718854592785422
45.0,1,0.0003718854592785422
21.0,1,0.0003718854592785422
5.0,1,0.0003718854592785422
80.0,1,0.0003718854592785422
9.4,1,0.0003718854592785422
