Value,count,ratio
<OTHER>,379,0.1409445890665675
65.0,327,0.1216065451840833
60.0,280,0.10412792859799182
70.0,244,0.0907400520639643
55.0,177,0.06582372629230197
75.0,164,0.060989215321680924
80.0,127,0.04722945332837486
50.0,91,0.03384157679434734
68.0,70,0.026031982149497954
62.0,66,0.024544440312383786
72.0,51,0.01896615842320565
85.0,49,0.01822238750464857
58.0,49,0.01822238750464857
56.0,46,0.017106731126812942
64.0,44,0.016362960208255856
67.0,43,0.015991074748977315
52.0,42,0.015619189289698772
63.0,42,0.015619189289698772
74.0,39,0.014503532911863145
66.0,38,0.014131647452584604
45.0,36,0.01338787653402752
77.0,35,0.013015991074748977
57.0,33,0.012272220156191893
90.0,33,0.012272220156191893
53.0,32,0.01190033469691335
73.0,31,0.011528449237634809
61.0,28,0.010412792859799182
59.0,25,0.009297136481963555
78.0,25,0.009297136481963555
48.0,22,0.008181480104127928
82.0,21,0.007809594644849386
