Value,count,ratio
<OTHER>,978,0.36370397917441427
61,87,0.03235403495723317
60,82,0.030494607660840462
70,71,0.026403867608776495
69,70,0.026031982149497954
57,68,0.02528821123094087
56,68,0.02528821123094087
59,66,0.024544440312383786
68,65,0.024172554853105245
55,62,0.023056898475269618
54,61,0.022685013015991073
71,60,0.022313127556712532
35,60,0.022313127556712532
62,59,0.02194124209743399
31,58,0.021569356638155446
67,57,0.021197471178876905
58,56,0.020825585719598364
66,56,0.020825585719598364
29,53,0.019709929341762737
33,52,0.019338043882484196
36,50,0.01859427296392711
32,50,0.01859427296392711
53,48,0.017850502045370024
51,46,0.017106731126812942
34,46,0.017106731126812942
72,46,0.017106731126812942
28,46,0.017106731126812942
75,44,0.016362960208255856
73,43,0.015991074748977315
52,42,0.015619189289698772
30,39,0.014503532911863145
