Value,count,ratio
0.0,422,0.1569356638155448
0.05,146,0.05429527705466716
0.06,5,0.001859427296392711
0.065,3,0.0011156563778356265
0.07,14,0.005206396429899591
0.075,99,0.03681666046857568
0.08,21,0.007809594644849386
0.085,1,0.0003718854592785422
0.09,16,0.005950167348456675
0.095,5,0.001859427296392711
0.0975,4,0.0014875418371141688
0.1,1940,0.7214577910003719
0.12,4,0.0014875418371141688
0.125,1,0.0003718854592785422
0.135,1,0.0003718854592785422
0.15,4,0.0014875418371141688
0.18,1,0.0003718854592785422
0.19,1,0.0003718854592785422
1.5,1,0.0003718854592785422
