Value,count,ratio
0.0,1973,0.7337300111565638
50.0,189,0.07028635180364448
75.0,135,0.050204537002603196
133.0,55,0.020453700260319823
<OTHER>,44,0.016362960208255856
100.0,41,0.015247303830420231
40.0,37,0.013759761993306061
80.0,37,0.013759761993306061
60.0,26,0.009669021941242098
170.5,20,0.007437709185570844
150.0,18,0.00669393826701376
120.0,17,0.006322052807735217
62.5,13,0.004834510970621049
112.5,9,0.00334696913350688
99.75,9,0.00334696913350688
66.5,8,0.0029750836742283376
37.5,7,0.0026031982149497955
90.0,5,0.001859427296392711
193.0,5,0.001859427296392711
173.0,5,0.001859427296392711
20.0,5,0.001859427296392711
30.0,4,0.0014875418371141688
38.0,4,0.0014875418371141688
53.2,4,0.0014875418371141688
199.5,3,0.0011156563778356265
36.0,3,0.0011156563778356265
117.3,3,0.0011156563778356265
87.5,3,0.0011156563778356265
625.0,3,0.0011156563778356265
77.5,2,0.0007437709185570844
93.75,2,0.0007437709185570844
