drug_cn,drug_en,dose_mg,count,ratio_all_rows,ratio_within_drug_nonzero
布托啡诺,Butorphanol,0.5,2,0.0007437709185570844,0.0125
布托啡诺,Butorphanol,1.0,43,0.015991074748977315,0.26875
布托啡诺,Butorphanol,1.5,7,0.0026031982149497955,0.04375
布托啡诺,Butorphanol,2.0,104,0.03867608776496839,0.65
布托啡诺,Butorphanol,3.0,4,0.0014875418371141688,0.025
地佐辛,Dezocine,5.0,4,0.0014875418371141688,0.3076923076923077
地佐辛,Dezocine,10.0,4,0.0014875418371141688,0.3076923076923077
地佐辛,Dezocine,20.0,5,0.001859427296392711,0.38461538461538464
纳布啡,Nalbuphine,10.0,5,0.001859427296392711,0.017543859649122806
纳布啡,Nalbuphine,20.0,96,0.03570100409074005,0.3368421052631579
纳布啡,Nalbuphine,30.0,6,0.002231312755671253,0.021052631578947368
纳布啡,Nalbuphine,40.0,82,0.030494607660840462,0.28771929824561404
纳布啡,Nalbuphine,45.0,2,0.0007437709185570844,0.007017543859649123
纳布啡,Nalbuphine,50.0,20,0.007437709185570844,0.07017543859649122
纳布啡,Nalbuphine,60.0,62,0.023056898475269618,0.21754385964912282
纳布啡,Nalbuphine,80.0,10,0.003718854592785422,0.03508771929824561
纳布啡,Nalbuphine,100.0,1,0.0003718854592785422,0.0035087719298245615
纳布啡,Nalbuphine,400.0,1,0.0003718854592785422,0.0035087719298245615
羟考酮,Oxycodone,10.0,74,0.027519523986612122,0.10914454277286136
羟考酮,Oxycodone,15.0,2,0.0007437709185570844,0.0029498525073746312
羟考酮,Oxycodone,20.0,313,0.11640014875418371,0.4616519174041298
羟考酮,Oxycodone,30.0,234,0.08702119747117888,0.34513274336283184
羟考酮,Oxycodone,40.0,48,0.017850502045370024,0.07079646017699115
羟考酮,Oxycodone,50.0,7,0.0026031982149497955,0.01032448377581121
帕洛诺司琼,Palonosetron,0.2,1,0.0003718854592785422,0.0004666355576294914
帕洛诺司琼,Palonosetron,0.25,2102,0.7817032354034957,0.9808679421371909
帕洛诺司琼,Palonosetron,0.26,1,0.0003718854592785422,0.0004666355576294914
帕洛诺司琼,Palonosetron,0.5,37,0.013759761993306061,0.01726551563229118
帕洛诺司琼,Palonosetron,10.0,2,0.0007437709185570844,0.0009332711152589828
舒芬,Sufentanil,0.05,146,0.05429527705466716,0.06440229378032643
舒芬,Sufentanil,0.06,5,0.001859427296392711,0.0022055580061755625
舒芬,Sufentanil,0.065,3,0.0011156563778356265,0.0013233348037053375
舒芬,Sufentanil,0.07,14,0.005206396429899591,0.0061755624172915745
舒芬,Sufentanil,0.075,99,0.03681666046857568,0.043670048522276135
舒芬,Sufentanil,0.08,21,0.007809594644849386,0.009263343625937363
舒芬,Sufentanil,0.085,1,0.0003718854592785422,0.0004411116012351125
舒芬,Sufentanil,0.09,16,0.005950167348456675,0.0070577856197618
舒芬,Sufentanil,0.095,5,0.001859427296392711,0.0022055580061755625
舒芬,Sufentanil,0.0975,4,0.0014875418371141688,0.00176444640494045
舒芬,Sufentanil,0.1,1940,0.7214577910003719,0.8557565063961182
舒芬,Sufentanil,0.12,4,0.0014875418371141688,0.00176444640494045
舒芬,Sufentanil,0.125,1,0.0003718854592785422,0.0004411116012351125
舒芬,Sufentanil,0.135,1,0.0003718854592785422,0.0004411116012351125
舒芬,Sufentanil,0.15,4,0.0014875418371141688,0.00176444640494045
舒芬,Sufentanil,0.18,1,0.0003718854592785422,0.0004411116012351125
舒芬,Sufentanil,0.19,1,0.0003718854592785422,0.0004411116012351125
舒芬,Sufentanil,1.5,1,0.0003718854592785422,0.0004411116012351125
曲马多,Tramadol,100.0,44,0.016362960208255856,0.03202328966521106
曲马多,Tramadol,150.0,10,0.003718854592785422,0.00727802037845706
曲马多,Tramadol,200.0,471,0.17515805132019338,0.34279475982532753
曲马多,Tramadol,250.0,56,0.020825585719598364,0.040756914119359534
曲马多,Tramadol,300.0,690,0.25660096690219414,0.5021834061135371
曲马多,Tramadol,350.0,1,0.0003718854592785422,0.000727802037845706
曲马多,Tramadol,400.0,89,0.033097805875790254,0.06477438136826782
曲马多,Tramadol,500.0,9,0.00334696913350688,0.006550218340611353
曲马多,Tramadol,600.0,4,0.0014875418371141688,0.002911208151382824
