target,target_en,target_tier,split_seed,n_total,n_positive,positive_rate,train_size,validation_size,test_size,train_positive,validation_positive,test_positive
手术当天_静息痛,SurgeryDay_RestPain,main,42,2674,172,0.0643231114435303,2140,267,267,138,17,17
手术当天_活动痛,SurgeryDay_MovementPain,main,42,2673,444,0.16610549943883277,2139,267,267,356,44,44
手术当天_镇静评分,SurgeryDay_SedationScore,low_event_sedation,42,2673,38,0.01421623643845866,2137,268,268,30,4,4
手术当天_活动状态,SurgeryDay_ActivityStatus,secondary_activity_status,42,2671,2601,0.9737925870460502,2137,267,267,2081,260,260
手术当天_恶心呕吐,SurgeryDay_NauseaVomiting,main,42,2672,193,0.07223053892215568,2138,267,267,155,19,19
术后第一天_静息痛,POD1_RestPain,main,42,2679,71,0.026502426278462114,2143,268,268,57,7,7
术后第一天_活动痛,POD1_MovementPain,main,42,2679,255,0.09518477043673013,2143,268,268,203,26,26
术后第一天_镇静评分,POD1_SedationScore,low_event_sedation,42,2679,23,0.008585293019783502,2143,268,268,19,2,2
术后第一天_活动状态,POD1_ActivityStatus,secondary_activity_status,42,2678,2378,0.8879761015683346,2142,268,268,1902,238,238
术后第一天_恶心呕吐,POD1_NauseaVomiting,main,42,2680,81,0.030223880597014925,2144,268,268,65,8,8
术后第二天_静息痛,POD2_RestPain,exploratory,42,2666,20,0.007501875468867217,2132,267,267,16,2,2
术后第二天_活动痛,POD2_MovementPain,main,42,2667,101,0.03787026621672291,2133,267,267,81,10,10
术后第二天_镇静评分,POD2_SedationScore,low_event_sedation,42,2667,8,0.0029996250468691415,2133,267,267,6,1,1
术后第二天_活动状态,POD2_ActivityStatus,secondary_activity_status,42,2667,1724,0.6464191976003,2135,266,266,1380,172,172
术后第二天_恶心呕吐,POD2_NauseaVomiting,exploratory,42,2667,27,0.010123734533183352,2133,267,267,21,3,3
术后第三天_静息痛,POD3_RestPain,low_event,42,2520,13,0.005158730158730159,2016,252,252,11,1,1
术后第三天_活动痛,POD3_MovementPain,exploratory,42,2519,43,0.017070265978562923,2015,252,252,35,4,4
术后第三天_镇静评分,POD3_SedationScore,low_event_sedation,42,2518,6,0.0023828435266084196,2014,252,252,4,1,1
术后第三天_活动状态,POD3_ActivityStatus,secondary_activity_status,42,2518,1345,0.534154090548054,2016,251,251,1077,134,134
术后第三天_恶心呕吐,POD3_NauseaVomiting,low_event,42,2516,9,0.003577106518282989,2012,252,252,7,1,1
__shared_backbone__,__shared_backbone__,shared_multitask,42,2686,,,2148,269,269,,,
