feature,importance
手术当天_静息痛,0.19888277
手术当天_活动痛,0.1024479
阻滞镇痛用药_布比卡因脂质体_dose,0.04123586
手术类型_产科,0.026021322
ASA分级_num,0.024109686
手术当天_活动状态,0.01977456
镇痛方式_oh_PCNA,0.019189708
阻滞镇痛部位_下肢外周神经阻滞,0.019045202
阻滞镇痛部位_上肢/颈丛神经阻滞,0.0187224
手术当天_镇静评分,0.018656012
麻醉方法_oh_插管全麻,0.018452257
麻醉方法_oh_腰麻,0.018378144
镇痛泵配方_has_舒芬,0.018132288
年份,0.01764119
阻滞镇痛用药_总量,0.016044466
镇痛泵配方_has_帕洛诺司琼,0.014985892
背景量,0.0148214735
麻醉方法_oh_腰硬联合,0.014756443
镇痛泵配方_has_纳布啡,0.014599217
阻滞镇痛部位_未记录/未实施,0.014100984
阻滞镇痛用药_罗哌卡因_dose,0.013985213
年龄,0.013644121
手术月份,0.012581904
手术类型_骨科-上肢,0.012552138
阻滞镇痛用药_has_罗哌卡因,0.0125355655
性别_num,0.012406629
镇痛方式_oh_PCEA,0.011998583
手术星期,0.011825106
阻滞镇痛用药_总体积_ml,0.011330926
镇痛泵配方_has_布托啡诺,0.011125772
阻滞镇痛部位_腹壁平面阻滞,0.011058815
手术当天_恶心呕吐,0.010639252
镇痛泵配方_曲马多_mg,0.010274732
镇痛泵配方_纳布啡_mg,0.0102059115
镇痛泵配方_has_曲马多,0.010121691
手术类型_腹外科-上腹,0.009893796
体重,0.009669218
手术类型_骨科-脊柱,0.009595939
总量,0.00934788
镇痛泵配方_帕洛诺司琼_mg,0.009205542
镇痛泵配方_布托啡诺_mg,0.009142907
阻滞镇痛用药_has_布比卡因脂质体,0.008678755
手术类型_妇科,0.008589488
麻醉方法_oh_神经阻滞,0.0084544765
麻醉方法_oh_硬膜外,0.008045099
阻滞镇痛部位_胸壁平面阻滞,0.0073512965
镇痛泵配方_舒芬_mg,0.0068896785
麻醉方法_oh_其他,0.0067183706
镇痛泵配方_has_羟考酮,0.0065067396
手术类型_其他,0.0064929817
镇痛泵配方_羟考酮_mg,0.0059899674
手术类型_腹外科-其他,0.005693799
镇痛泵配方_has_地佐辛,0.005570403
阻滞镇痛部位_椎旁阻滞,0.005476256
镇痛方式_oh_PCIA,0.0053015687
镇痛泵配方_地佐辛_mg,0.005102549
手术类型_腹外科-下腹,0.0049615833
手术类型_骨科-其他,0.0046469085
手术类型_骨科-下肢,0.0036743635
镇痛方式_oh_PICA,0.0027163217
阻滞镇痛部位_其他,0.0
阻滞镇痛部位_其他外周神经阻滞,0.0
阻滞镇痛用药_has_布比卡因,0.0
阻滞镇痛用药_布比卡因_dose,0.0
